Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Dead time t / %,Voltage U / V
0,0,0,-24.9262917846498,,,621.609375
1.001,0,1,-23.2637464490117,13.7290655512188,0.0961034588585317,622.7734375
2.001,0,2,-21.6012011133737,6.0059879700061,0.0420419157900427,622.7734375
3.001,0,3,-19.9386557777357,8.88029079400234,0.0621620355580164,622.7734375
4.001,2,4,-18.2761104420976,7.99566634883893,0.0559696644418725,622.7734375
5.001,3,5,-16.6135651064596,10.0142242040594,0.0700995694284161,623.161458333333
6.001,2,6,-14.9510197708215,12.2030891343583,0.0854216239405084,622.7734375
7.001,3,7,-13.2884744351835,8.88826572270322,0.0622178600589225,623.161458333333
8.001,3,8,-11.6259290995454,14.0227308467025,0.0981591159269175,622.7734375
9,1,9,-9.96338376390739,9.98204784151525,0.0698743348906067,622.7734375
10.001,5,10,-8.30083842826934,12.0192572539723,0.0841348007778062,622.7734375
11.001,1,11,-6.63829309263129,5.55035240852547,0.0388524668596783,622.7734375
12.001,4,12,-4.97574775699325,7.00059435046035,0.0490041604532225,622.7734375
13.001,5,13,-3.3132024213552,19.0010317560244,0.13300722229217,622.7734375
14,1,14,-1.65065708571716,10.9884379655726,0.0769190657590084,622.7734375
15.001,4,15,0.0118882499208794,18.0023277009717,0.126016293906802,622.7734375
16.001,6,16,1.67443358555892,11.1070619699641,0.0777494337897484,622.7734375
17,7,17,3.33697892119698,9.00653333928432,0.0630457333749902,622.7734375
18.001,4,18,4.99952425683502,13.0191772480864,0.091134240736605,622.7734375
19.001,3,19,6.66206959247306,8.87490105872023,0.0621243074110416,622.7734375
20.001,2,20,8.3246149281111,14.4308041276984,0.101015628893889,622.7734375
21.001,7,21,9.98716026374915,18.0253725143512,0.126177607600458,622.7734375
22.001,4,22,11.6497055993872,9.99917006888428,0.06999419048219,622.7734375
23.001,1,23,13.3122509350252,11.9939142878903,0.0839574000152322,622.7734375
24.001,1,24,14.9747962706633,12.218587871141,0.085530115097987,622.7734375
25.001,4,25,16.6373416063013,10.0113117811816,0.0700791824682709,622.7734375
26.001,7,26,18.2998869419394,17.7681928248706,0.124377349774094,622.385416666667
27.001,4,27,19.9624322775774,13.0067661197355,0.0910473628381484,622.7734375
28,4,28,21.6249776132155,15.5407987038086,0.10878559092666,622.7734375
29,9,29,23.2875229488535,10.0174032346395,0.0701218226424768,622.7734375
30.001,6,30,24.9500682844916,15.5432004382294,0.108802403067606,622.7734375
31.001,6,31,26.6126136201296,12.2135261915738,0.0854946833410168,622.7734375
32,11,32,28.2751589557676,11.097744494409,0.0776842114608627,622.7734375
33,6,33,29.9377042914057,14.0156330370896,0.098109431259627,622.7734375
34.001,7,34,31.6002496270437,15.0264345035787,0.105185041525051,622.7734375
35,11,35,33.2627949626818,11.0922579699815,0.0776458057898703,622.7734375
36.001,6,36,34.9253402983198,9.99826807778519,0.0699878765444963,622.7734375
37.001,12,37,36.5878856339579,16.0175103423062,0.112122572396143,622.7734375
38.001,9,38,38.2504309695959,15.9676128907736,0.111773290235416,622.7734375
39.001,10,39,39.912976305234,6.00303633577864,0.0420212543504505,622.7734375
40.001,7,40,41.575521640872,15.996912595869,0.111978388171083,622.7734375
41,8,41,43.23806697651,12.9896433573512,0.0909275035014583,622.7734375
42.001,10,42,44.9006123121481,14.0112748728902,0.0980789241102315,622.7734375
43,9,43,46.5631576477861,8.00483411932466,0.0560338388352726,622.385416666667
44.001,7,44,48.2257029834242,15.9952142319018,0.111966499623313,622.7734375
45,9,45,49.8882483190622,13.9876293406112,0.0979134053842781,622.7734375
46.001,13,46,51.5507936547003,8.00893156047624,0.0560625209233337,622.7734375
47.001,16,47,53.2133389903383,8.99531793701379,0.0629672255590965,623.161458333333
48.001,13,48,54.8758843259764,10.0059875829696,0.0700419130807875,622.7734375
49.001,22,49,56.5384296616144,14.4330904133193,0.101031632893235,622.7734375
50.001,16,50,58.2009749972525,12.9985922524591,0.0909901457672134,622.7734375
51,13,51,59.8635203328905,8.00352635371144,0.0560246844759801,622.7734375
52,12,52,61.5260656685285,11.011139970308,0.0770779797921557,622.7734375
53.001,19,53,63.1886110041666,11.0996156092118,0.0776973092644828,622.7734375
54,23,54,64.8511563398046,9.99775050613612,0.0699842535429528,622.7734375
55.001,17,55,66.5137016754427,11.0979292373836,0.0776855046616852,622.7734375
56.001,20,56,68.1762470110807,13.020007846057,0.0911400549223993,622.7734375
57.001,26,57,69.8387923467188,7.77165112614,0.05440155788298,622.7734375
58.001,27,58,71.5013376823568,6.01356238725197,0.0420949367107638,622.7734375
59.001,27,59,73.1638830179949,6.98875927957473,0.0489213149570231,622.7734375
60,32,60,74.8264283536329,7.0058043088699,0.0490406301620893,622.7734375
61.001,34,61,76.4889736892709,12.0040465640968,0.0840283259486773,622.7734375
62,38,62,78.151519024909,16.6416228733115,0.116491360113181,622.7734375
63,34,63,79.814064360547,12.2198624310105,0.0855390370170738,622.7734375
64.001,26,64,81.4766096961851,14.0115118581427,0.0980805830069985,622.7734375
65,21,65,83.1391550318231,14.4308425736053,0.101015898015237,622.7734375
66.001,21,66,84.8017003674612,8.88148173312347,0.0621703721318643,622.7734375
67,23,67,86.4642457030992,9.01362138463646,0.0630953496924552,622.7734375
68.001,28,68,88.1267910387373,5.55060071931345,0.0388542050351941,622.7734375
69,30,69,89.7893363743753,12.2200266907601,0.0855401868353208,622.7734375
70,22,70,91.4518817100133,14.4405936194793,0.101084155336355,622.7734375
71.001,20,71,93.1144270456514,8.88629211685918,0.0622040448180143,622.7734375
72.001,19,72,94.7769723812894,9.99052010647674,0.0699336407453372,622.7734375
73.001,24,73,96.4395177169275,7.77766975458674,0.0544436882821072,622.385416666667
73.999,21,74,98.1020630525655,13.0058279114871,0.09104079538041,623.161458333333
75.001,19,75,99.7646083882036,17.9986357034137,0.125990449923896,622.7734375
76.001,20,76,101.427153723842,5.00413441585438,0.0350289409109807,622.7734375
77.001,14,77,103.08969905948,12.9858713719473,0.0909010996036312,622.7734375
78,19,78,104.752244395118,14.0218432273796,0.0981529025916573,622.7734375
79.001,26,79,106.414789730756,14.4370590866628,0.101059413606639,622.7734375
80,23,80,108.077335066394,8.88765547981175,0.0622135883586822,622.7734375
81,22,81,109.739880402032,16.0176113636944,0.112123279545861,622.7734375
82.001,14,82,111.40242573767,9.98401226835428,0.0698880858784799,622.7734375
83.001,9,83,113.064971073308,15.5462416294593,0.108823691406215,622.7734375
84,21,84,114.727516408946,11.0201889862228,0.0771413229035593,622.7734375
85,15,85,116.390061744584,9.99452633107935,0.0699616843175554,622.7734375
86,15,86,118.052607080222,9.99455696427725,0.0699618987499408,622.7734375
87,15,87,119.71515241586,9.99874115848815,0.069991188109417,622.385416666667
88,19,88,121.377697751498,14.9881952973838,0.104917367081686,622.7734375
89.001,27,89,123.040243087136,11.0105436966439,0.0770738058765073,622.7734375
90,14,90,124.702788422774,15.5496432356497,0.108847502649548,622.7734375
91,13,91,126.365333758412,16.6619920522298,0.116633944365609,622.7734375
92.001,16,92,128.02787909405,9.9996966758675,0.0699978767310725,622.7734375
93,19,93,129.690424429688,14.0134809686919,0.0980943667808432,622.7734375
94.001,23,94,131.352969765326,13.327883709772,0.093295185968404,622.7734375
95.001,27,95,133.015515100964,5.99801765516497,0.0419861235861548,622.7734375
96.001,13,96,134.678060436603,6.99716824601084,0.0489801777220759,621.997395833333
