Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Dead time t / %,Voltage U / V
0,0,0,0,,,616.953125
1.001,0,1,1,14.7802337599542,0.10346163631968,619.28125
2.001,0,2,2,14.011314136165,0.0980791989531547,619.28125
3.001,0,3,3,12.0087087155605,0.0840609610089237,619.28125
4,3,4,4,17.7540386554245,0.124278270587972,619.28125
5,0,5,5,11.1079256048904,0.0777554792342329,619.28125
6.001,1,6,6,12.2145514838903,0.0855018603872324,619.28125
7.001,4,7,7,18.0473544533501,0.126331481173451,619.28125
8.001,4,8,8,17.7558295995228,0.12429080719666,619.28125
9,3,9,9,14.4294602516098,0.101006221761269,619.28125
10.001,0,10,10,5.00602926164272,0.0350422048314991,619.28125
11,2,11,11,15.5435076101013,0.108804553270709,619.28125
12.001,3,12,12,12.2196710264601,0.085537697185221,619.28125
13.001,6,13,13,15.0158612542429,0.1051110287797,619.28125
14.001,3,14,14,12.2192800911158,0.0855349606378109,619.28125
15,5,15,15,17.0356607486451,0.119249625240516,619.28125
16.001,2,16,16,10.9913750679842,0.0769396254758891,619.28125
17.001,4,17,17,12.2144985876153,0.0855014901133072,619.28125
18,5,18,18,14.9903686881179,0.104932580816825,618.505208333333
19,3,19,19,18.040763104234,0.126285341729638,619.669270833333
20,3,20,20,18.8733519261754,0.132113463483228,619.28125
21.001,3,21,21,21.0975758441196,0.147683030908837,619.28125
22,5,22,22,11.0048102025395,0.0770336714177767,619.28125
23,6,23,23,11.1031168669669,0.0777218180687683,619.28125
24,6,24,24,19.0138230493569,0.133096761345498,619.28125
25,3,25,25,13.3239843376564,0.0932678903635949,619.28125
26.001,7,26,26,15.9968246303109,0.111977772412176,619.28125
27,4,27,27,13.000521320905,0.0910036492463348,619.28125
28.001,4,28,28,11.0042619506535,0.0770298336545744,619.28125
29.001,8,29,29,14.4390474493756,0.101073332145629,619.28125
30.001,3,30,30,9.00635488400616,0.0630444841880431,619.28125
31,11,31,31,13.0123877931791,0.0910867145522537,619.28125
32.001,7,32,32,16.9543808474538,0.118680665932176,619.28125
33.001,4,33,33,15.0143702537699,0.105100591776389,619.28125
34,7,34,34,17.0339537800698,0.119237676460489,619.28125
35,4,35,35,23.3194142340816,0.163235899638571,619.28125
36,12,36,36,8.87857987114961,0.0621500590980473,619.28125
37.001,7,37,37,16.6394168483414,0.11647591793839,619.28125
38,9,38,38,13.0086468475596,0.091060527932917,619.28125
38.999,6,39,39,18.0359402180726,0.126251581526508,619.28125
40.001,9,40,40,12.2145162196561,0.0855016135375926,619.28125
41.001,6,41,41,10.9919879399905,0.0769439155799338,619.28125
42,5,42,42,13.0253525461959,0.0911774678233714,619.28125
43,4,43,43,14.9973799577214,0.10498165970405,619.28125
44.001,5,44,44,8.8823475333943,0.0621764327337601,619.28125
45.001,8,45,45,12.9891800130491,0.0909242600913439,619.28125
46.001,10,46,46,11.1051994432741,0.077736396102919,619.28125
47,12,47,47,16.0454712610066,0.112318298827046,618.893229166667
48,13,48,48,23.264547820278,0.162851834741946,618.893229166667
49.001,9,49,49,9.00795312181125,0.0630556718526787,619.28125
50.001,12,50,50,14.000890456633,0.0980062331964313,619.28125
51.001,11,51,51,13.9967065749429,0.0979769460246004,619.28125
52.001,13,52,52,19.0049260768391,0.133034482537874,619.28125
53.001,5,53,53,15.017713392947,0.105123993750629,619.28125
54,15,54,54,17.7615535853306,0.124330875097314,619.28125
55,18,55,55,16.6403914885063,0.116482740419544,619.28125
56.001,23,56,56,11.1096791969035,0.0777677543783246,619.28125
57,20,57,57,15.0212385291564,0.105148669704095,619.28125
58.003,24,58,58,16.6547566651226,0.116583296655858,619.28125
59,31,59,59,19.0169745514847,0.133118821860393,619.28125
60,26,60,60,14.4373749431806,0.101061624602264,619.28125
61,33,61,61,13.0130638147636,0.0910914467033455,619.28125
62,12,62,62,11.0902540400132,0.0776317782800924,619.28125
63,19,63,63,17.0154551379018,0.119108185965312,619.28125
64.001,23,64,64,17.989370081219,0.125925590568533,619.28125
65.001,19,65,65,11.0019066304191,0.0770133464129334,619.28125
66,15,66,66,17.013047305979,0.119091331141853,619.28125
67,24,67,67,11.1044533743991,0.0777311736207936,619.28125
68,13,68,68,9.99112122360596,0.0699378485652417,619.28125
69.001,24,69,69,8.00764730317453,0.0560535311222217,619.28125
70,16,70,70,17.7721420340705,0.124404994238494,619.28125
71.001,14,71,71,10.0048553563044,0.0700339874941309,619.28125
72,16,72,72,17.7553409452699,0.12428738661689,619.28125
73,21,73,73,13.0058929701048,0.0910412507907333,619.28125
74,13,74,74,14.979330022502,0.104855310157514,619.28125
75.002,10,75,75,14.0400816250231,0.0982805713751618,621.609375
76,14,76,76,15.5245805674168,0.108672063971917,619.28125
77,18,77,77,18.0195349778695,0.126136744845087,619.28125
78,10,78,78,14.4090254588637,0.100863178212046,619.28125
79,11,79,79,16.0227330536565,0.112159131375596,619.28125
80,14,80,80,14.4295931864793,0.101007152305355,619.28125
81.001,23,81,81,16.0289547037769,0.112202682926438,619.28125
82,21,82,82,13.0062390928929,0.09104367365025,619.28125
83.001,17,83,83,13.3070651866549,0.0931494563065841,619.28125
84.001,15,84,84,15.0035633462947,0.105024943424063,619.28125
85,16,85,85,25.992168559613,0.181945179917291,619.28125
86,25,86,86,13.3274026391589,0.0932918184741123,619.28125
87,6,87,87,9.00651080666214,0.063045575646635,619.28125
88,15,88,88,13.0205007784757,0.09114350544933,619.28125
89,13,89,89,13.3304110110084,0.0933128770770585,619.28125
90,13,90,90,17.0063008344592,0.119044105841214,619.28125
91,12,91,91,13.983869606409,0.097887087244863,619.28125
92.001,17,92,92,10.003262063759,0.0700228344463129,619.28125
93,10,93,93,16.0110476228598,0.112077333360018,619.28125
94.001,15,94,94,16.6572701155137,0.116600890808596,619.28125
95,11,95,95,15.0013546223224,0.105009482356257,619.28125
96,16,96,96,17.002130366935,0.119014912568545,619.28125
97,14,97,97,10.9827658438378,0.0768793609068649,619.28125
98.001,14,98,98,14.0390763651548,0.0982735345560834,619.28125
99,9,99,99,15.5373975169907,0.108761782618935,619.28125
100.001,8,100,100,15.5553135840109,0.108887195088076,619.28125
101,12,101,101,18.887090418168,0.132209632927176,619.28125
102,14,102,102,8.86693337663352,0.0620685336364347,619.28125
103,10,103,103,15.0214355885849,0.105150049120094,619.28125
104.001,17,104,104,11.1090152102414,0.0777631064716901,619.28125
105.001,15,105,105,13.3221353384627,0.0932549473692391,618.893229166667
106,11,106,106,15.0022143268346,0.105015500287842,619.28125
107,11,107,107,22.0639191738466,0.154447434216926,619.28125
108.001,16,108,108,18.8331010584203,0.131831707408942,619.28125
109,13,109,109,16.0263152095741,0.112184206467019,619.28125
110,15,110,110,23.3214989682458,0.16325049277772,619.28125
111,11,111,111,16.0006704280909,0.112004692996637,619.28125
