Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Dead time t / %,Voltage U / V
0,0,0,-24.9262917846498,,,621.609375
1,0,1,-23.2637464490117,18.020407369329,0.126142851585303,621.609375
2,0,2,-21.6012011133737,13.3209463333485,0.0932466243334393,621.609375
3.001,0,3,-19.9386557777357,13.0160357560515,0.0911122502923602,621.609375
4.001,0,4,-18.2761104420976,9.99336773494657,0.069953574144626,621.997395833333
5,4,5,-16.6135651064596,11.9963423152281,0.0839743962065966,621.609375
6.001,5,6,-14.9510197708215,15.9898128902076,0.111928690231454,621.609375
7.001,5,7,-13.2884744351835,9.99994777805049,0.0699996344463534,621.609375
8.001,3,8,-11.6259290995454,11.0332907481745,0.0772330352372213,621.609375
9.001,2,9,-9.96338376390739,14.4304324944923,0.101013027461446,621.609375
10.001,0,10,-8.30083842826934,15.5218541608714,0.1086529791261,621.221354166667
11,4,11,-6.63829309263129,18.9937890309869,0.132956523216908,621.609375
12,9,12,-4.97574775699325,11.0072824180478,0.0770509769263345,621.221354166667
13,1,13,-3.3132024213552,12.0183748933745,0.0841286242536214,621.609375
13.999,6,14,-1.65065708571716,18.9855918343569,0.132899142840498,621.609375
15.001,3,15,0.0118882499208794,21.0982950689842,0.147688065482889,621.609375
16,5,16,1.67443358555892,11.1093694088627,0.0777655858620387,621.609375
17,3,17,3.33697892119698,13.3326726253343,0.0933287083773404,622.385416666667
18.001,4,18,4.99952425683502,7.99485131575266,0.0559639592102686,621.609375
19.001,10,19,6.66206959247306,14.4393874500841,0.101075712150589,621.609375
20,3,20,8.3246149281111,7.7715682947103,0.0544009780629721,621.609375
21,5,21,9.98716026374915,9.0127801222133,0.0630894608554931,621.609375
22,6,22,11.6497055993872,14.4286402737979,0.101000481916585,621.609375
23,7,23,13.3122509350252,9.99960301576028,0.0699972211103219,621.609375
24.001,4,24,14.9747962706633,20.0304141808923,0.140212899266246,621.997395833333
25.001,6,25,16.6373416063013,13.3107848637741,0.0931754940464187,621.609375
26.001,5,26,18.2998869419394,17.7661093919316,0.124362765743521,621.997395833333
27,6,27,19.9624322775774,18.876531053226,0.132135717372582,621.609375
28.001,8,28,21.6249776132155,14.0094115226609,0.0980658806586265,620.833333333333
29.001,11,29,23.2875229488535,9.9934431908842,0.0699541023361894,621.609375
30,6,30,24.9500682844916,15.0101002964895,0.105070702075427,621.609375
31.001,6,31,26.6126136201296,8.01315278898785,0.0560920695229149,621.609375
32,9,32,28.2751589557676,11.1000628485558,0.0777004399398909,621.609375
33.001,6,33,29.9377042914057,21.9750626988493,0.153825438891945,621.609375
34,14,34,31.6002496270437,18.0342849791739,0.126239994854217,621.609375
35.001,7,35,33.2627949626818,15.5386960703193,0.108770872492235,621.609375
36,4,36,34.9253402983198,15.0211888890469,0.105148322223328,621.609375
37.001,12,37,36.5878856339579,9.97665905188927,0.0698366133632249,621.609375
38.001,10,38,38.2504309695959,12.0096317246432,0.0840674220725021,621.609375
39,14,39,39.912976305234,13.3160934310379,0.0932126540172656,621.609375
40.001,14,40,41.575521640872,11.1058383058799,0.0777408681411592,621.609375
41.001,11,41,43.23806697651,10.9958457694683,0.0769709203862781,621.609375
42.001,15,42,44.9006123121481,21.0218606328721,0.147153024430105,621.609375
42.999,11,43,46.5631576477861,7.99201597603994,0.0559441118322795,622.385416666667
44,10,44,48.2257029834242,9.0029646762679,0.0630207527338753,621.609375
45,14,45,49.8882483190622,13.3178698067244,0.0932250886470709,621.609375
46.001,15,46,51.5507936547003,9.01911059343643,0.063133774154055,621.609375
47.001,13,47,53.2133389903383,8.88331608859598,0.0621832126201718,621.609375
48,10,48,54.8758843259764,18.8702639383817,0.132091847568672,621.609375
49,11,49,56.5384296616144,11.0223257207474,0.0771562800452316,621.609375
50.001,14,50,58.2009749972525,5.53908232472183,0.0387735762730528,621.609375
51,12,51,59.8635203328905,15.0210459875331,0.105147321912732,622.385416666667
52,16,52,61.5260656685285,20.029782283277,0.140208475982939,621.609375
53,26,53,63.1886110041666,13.9790775146838,0.0978535426027864,621.997395833333
54.001,14,54,64.8511563398046,13.002099839124,0.0910146988738681,621.609375
55,23,55,66.5137016754427,13.9964938782835,0.0979754571479844,621.997395833333
56,18,56,68.1762470110807,16.0169042407357,0.11211832968515,621.609375
57.001,29,57,69.8387923467188,15.5467595444888,0.108827316811422,621.609375
58,26,58,71.5013376823568,11.0023126861266,0.0770161888028864,621.609375
59,32,59,73.1638830179949,13.3169505248654,0.0932186536740579,621.609375
60.001,41,60,74.8264283536329,14.9935138059276,0.104954596641493,621.609375
61.001,44,61,76.4889736892709,8.01919876376032,0.0561343913463222,622.385416666667
62,40,62,78.151519024909,14.4324703049148,0.101027292134404,622.385416666667
63,41,63,79.814064360547,16.6581876491532,0.116607313544073,621.997395833333
63.999,41,64,81.4766096961851,15.5419477168879,0.108793634018215,624.325520833333
65.001,33,65,83.1391550318231,9.01499464058569,0.0631049624840998,621.997395833333
66,29,66,84.8017003674612,13.3134991781133,0.0931944942467932,621.609375
67,32,67,86.4642457030992,18.0053331796878,0.126037332257815,621.609375
68.001,23,68,88.1267910387373,14.9948672569379,0.104964070798566,621.609375
69,30,69,89.7893363743753,16.0100991705568,0.112070694193898,621.609375
70.001,26,70,91.4518817100133,12.0053243613543,0.0840372705294798,621.609375
71,24,71,93.1144270456514,15.9788886922598,0.111852220845819,621.609375
72,27,72,94.7769723812894,16.0074210403943,0.11205194728276,621.997395833333
73,25,73,96.4395177169275,14.4440656889442,0.101108459822609,622.385416666667
74,25,74,98.1020630525655,8.87695333196998,0.0621386733237899,622.385416666667
75,19,75,99.7646083882036,8.01540480649761,0.0561078336454833,621.997395833333
76,21,76,101.427153723842,13.3301237357627,0.0933108661503391,621.609375
77.002,21,77,103.08969905948,16.9860086246958,0.118902060372871,621.609375
78,18,78,104.752244395118,15.9932556440949,0.111952789508664,621.609375
79,17,79,106.414789730756,20.045744388695,0.140320210720865,621.609375
80,28,80,108.077335066394,18.8666241760696,0.132066369232487,621.609375
81,22,81,109.739880402032,19.9930890555498,0.139951623388849,621.997395833333
82,19,82,111.40242573767,10.0002340054757,0.0700016380383301,621.609375
83,25,83,113.064971073308,10.0008630744833,0.0700060415213833,621.609375
83.999,26,84,114.727516408946,16.6469899245758,0.116528929472031,621.609375
85,26,85,116.390061744584,11.1050280235382,0.0777351961647675,621.997395833333
86.001,20,86,118.052607080222,13.3277238424539,0.093294066897177,622.7734375
87.001,21,87,119.71515241586,11.0146891895031,0.0771028243265218,621.609375
88,16,88,121.377697751498,19.0180043447131,0.133126030412992,621.609375
89.001,24,89,123.040243087136,12.2106641502338,0.0854746490516366,621.609375
90.001,14,90,124.702788422774,18.874238285704,0.132119667999928,621.609375
91,29,91,126.365333758412,9.99857909081587,0.0699900536357111,621.609375
92.001,25,92,128.02787909405,13.9937601823347,0.0979563212763429,621.609375
93,9,93,129.690424429688,14.9781693182187,0.104847185227531,621.997395833333
94.001,20,94,131.352969765326,18.0325270723331,0.126227689506332,621.997395833333
95.001,19,95,133.015515100964,14.0039168955557,0.0980274182688898,622.7734375
96,16,96,134.678060436603,18.8876548954357,0.13221358426805,621.609375
97,19,97,136.340605772241,15.554879782445,0.108884158477115,621.997395833333
98.001,23,98,138.003151107879,11.9984270062195,0.0839889890435364,621.609375
99.001,11,99,139.665696443517,11.003702745974,0.0770259192218181,621.609375
100.001,28,100,141.328241779155,14.9924722796684,0.104947305957679,621.609375
101,18,101,142.990787114793,15.0151653169701,0.105106157218791,621.609375
102,19,102,144.653332450431,12.2198502135197,0.0855389514946377,621.609375
103,16,103,146.315877786069,13.9784340719139,0.097849038503397,621.609375
104,30,104,147.978423121707,12.9925695494747,0.0909479868463226,621.997395833333
105,18,105,149.640968457345,11.0161507786566,0.0771130554505961,621.609375
