Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V
0,0,0,0,,882.359375
1,0,1,1,4471.37020064931,870.330729166667
2,2,2,2,4772.53181462898,876.151041666667
3,16,3,3,4722.45843148661,883.911458333333
4.001,36,4,4,3977.15268893652,880.807291666667
5.001,29,5,5,4022.27065653847,869.5546875
5.999,28,6,6,4388.35694859302,876.5390625
7.001,13,7,7,4656.25636987862,873.434895833333
8,13,8,8,4794.19531743013,865.286458333333
9.001,16,9,9,4121.88947172455,849.765625
10.001,18,10,10,4723.49195524031,870.330729166667
11,22,11,11,4396.4750040412,871.106770833333
11.999,26,12,12,4703.65192615697,888.567708333333
13,17,13,13,4213.90089069179,854.033854166667
14.001,38,14,14,4538.37220715268,884.6875
15,24,15,15,4608.14433295687,876.5390625
16,40,16,16,3957.49072885038,879.255208333333
17,34,17,17,4740.93010991401,871.494791666667
18.001,27,18,18,4852.23542486023,872.270833333333
19.001,28,19,19,4662.58496875137,877.315104166667
20,29,20,20,4608.30874070305,877.703125
21.001,30,21,21,4480.12610666156,878.479166666667
22.001,50,22,22,4385.02764789459,880.419270833333
23.001,38,23,23,4523.17729258571,876.927083333333
24.001,47,24,24,4609.63770871958,868.002604166667
25.001,48,25,25,4538.31789082101,877.315104166667
26,36,26,26,4477.32620563817,882.359375
27.001,57,27,27,4794.50656092708,873.434895833333
28,33,28,28,4100.59252259858,878.479166666667
29.001,47,29,29,4553.64960021733,883.135416666667
30,57,30,30,4847.15704788835,876.5390625
31,56,31,31,4565.33954587781,876.5390625
32,54,32,32,4263.26038065382,865.674479166667
33.001,55,33,33,4642.17982470694,862.958333333333
34.001,74,34,34,4548.84036792496,879.255208333333
35,70,35,35,4821.76528238945,875.375
36.001,64,36,36,4394.22849189812,857.9140625
37.001,54,37,37,4342.58098868496,874.986979166667
38.001,54,38,38,4780.1513544299,876.151041666667
39.001,52,39,39,4456.403253824,883.135416666667
40,44,40,40,4279.51843071929,866.450520833333
41.001,43,41,41,3990.46978384404,877.315104166667
42,44,42,42,4769.76318686338,886.239583333333
43,35,43,43,4521.62135764805,879.643229166667
44,51,44,44,4524.36500092078,883.135416666667
45,42,45,45,4453.55829015337,875.763020833333
46.001,38,46,46,4414.3867347278,872.270833333333
47,54,47,47,4747.91576380207,866.838541666667
48.001,47,48,48,4546.78506781763,872.270833333333
49.001,41,49,49,4562.02403724691,866.0625
