Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Dead time t / %,Voltage U / V
0,0,0,0,,,621.609375
1.001,0,1,1,2286.54252222789,16.0057976555952,631.697916666667
2.001,3,2,2,2735.45890400881,19.1482123280617,650.322916666667
3,11,3,3,2413.44228596996,16.8940960017897,648.3828125
4,29,4,4,2498.9825999583,17.4928781997081,656.143229166667
5.001,41,5,5,2199.63173423407,15.3974221396385,630.533854166667
6,46,6,6,2725.55029741329,19.078852081893,624.325520833333
7.001,46,7,7,2469.1914769686,17.2843403387802,637.518229166667
8,66,8,8,2188.34213083804,15.3183949158663,647.21875
9.001,61,9,9,2319.91659914845,16.2394161940391,639.846354166667
10.001,75,10,10,2312.86804051095,16.1900762835767,659.247395833333
11.001,79,11,11,2569.66403166993,17.9876482216895,649.546875
12,75,12,12,2286.91629886346,16.0084140920442,644.114583333333
13,63,13,13,2508.76514385399,17.5613560069779,643.7265625
14,57,14,14,2280.92989478398,15.9665092634878,647.994791666667
15,73,15,15,2240.646550393,15.684525852751,652.651041666667
16.001,96,16,16,2506.49822678263,17.5454875874784,625.1015625
17,102,17,17,2683.34865036555,18.7834405525589,657.6953125
18.001,119,18,18,2551.59796320747,17.8611857424523,656.919270833333
19,172,19,19,2390.3892327091,16.7327246289637,621.997395833333
20,186,20,20,2342.82140893044,16.3997498625131,642.174479166667
21,265,21,21,2336.79658285704,16.3575760799993,651.875
22,382,22,22,2324.33902733107,16.2703731913175,652.263020833333
23,636,23,23,2127.67470698644,14.8937229489051,637.90625
24.001,1059,24,24,2063.11238250104,14.4417866775073,630.921875
25.001,1671,25,25,2329.71367818895,16.3079957473227,630.921875
26,2191,26,26,2501.44951047703,17.5101465733392,642.174479166667
27,2952,27,27,2227.32837864502,15.5912986505152,649.158854166667
28,3504,28,28,2242.36355901634,15.6965449131144,641.786458333333
29,3596,29,29,2034.8822930858,14.2441760516006,674.380208333333
30.001,2741,30,30,2175.83330807813,15.2308331565469,636.354166666667
31.001,1601,31,31,2224.39371768803,15.5707560238162,639.846354166667
32.001,709,32,32,2477.43392899044,17.3420375029331,654.591145833333
33.001,256,33,33,2318.26448074479,16.2278513652135,623.9375
34,117,34,34,2310.98760166262,16.1769132116384,623.549479166667
35.001,118,35,35,2494.36766178896,17.4605736325227,638.682291666667
36.001,122,36,36,2473.00460620705,17.3110322434494,656.919270833333
37,147,37,37,2249.73527300637,15.7481469110446,641.010416666667
38,201,38,38,2262.57067656367,15.8379947359457,652.263020833333
38.999,238,39,39,1896.29941667964,13.2740959167575,663.515625
40,334,40,40,2238.52114214964,15.6696479950475,635.966145833333
41.001,469,41,41,2238.14548626313,15.6670184038419,630.145833333333
42.001,606,42,42,2451.56930927949,17.1609851649565,636.354166666667
42.999,1050,43,43,2462.13960331551,17.2349772232086,641.3984375
44.001,1733,44,44,2094.35339670585,14.6604737769409,656.919270833333
45.001,3265,45,45,2559.42871330357,17.916000993125,639.0703125
46,5612,46,46,2436.46724057227,17.0552706840059,628.59375
47,9951,47,47,2386.26773924034,16.7038741746824,670.5
48,15810,48,48,2227.83833556567,15.5948683489597,644.114583333333
49,22502,49,49,2181.18026605737,15.2682618624016,637.130208333333
50.001,28481,50,50,2316.46400525132,16.2152480367592,630.533854166667
51.001,30241,51,51,2395.17942411973,16.7662559688381,639.846354166667
52.001,27624,52,52,2647.73308766751,18.5341316136726,651.875
53,20601,53,53,2452.35266979276,17.1664686885493,671.6640625
54.003,13168,54,54,2263.98574941737,15.8479002459216,670.111979166667
54.999,6769,55,55,2218.52098600933,15.5296469020653,623.161458333333
56.001,2961,56,56,2219.76672706971,15.538367089488,625.877604166667
57,1235,57,57,2006.45149619912,14.0451604733938,656.53125
58,480,58,58,2378.12497884601,16.646874851922,672.828125
59.001,282,59,59,2256.28854054785,15.7940197838349,668.947916666667
60,196,60,60,2400.90948182757,16.806366372793,626.653645833333
61,202,61,61,2103.71562385387,14.7260093669771,648.3828125
62.001,204,62,62,2327.41935241684,16.2919354669179,643.7265625
63.001,196,63,63,2117.11836666759,14.8198285666731,624.713541666667
64,211,64,64,2231.79675144026,15.6225772600818,637.130208333333
65,216,65,65,1284.37994002968,8.99065958020775,631.309895833333
66,226,66,66,2389.97271889659,16.7298090322761,635.190104166667
67,220,67,67,2787.68866964768,19.5138206875337,642.5625
68.001,241,68,68,2556.81696079224,17.8977187255457,652.263020833333
69.001,215,69,69,2220.61770256447,15.5443239179513,638.682291666667
70,242,70,70,2201.58866638166,15.4111206646716,642.950520833333
71,241,71,71,2273.8386820803,15.9168707745621,624.325520833333
72,259,72,72,2198.70522919047,15.3909366043333,642.174479166667
72.999,263,73,73,2692.09633819391,18.8446743673574,665.455729166667
74.001,274,74,74,2523.95564811417,17.6676895367992,644.890625
75,284,75,75,2537.636604432,17.763456231024,648.3828125
76,324,76,76,2264.35615106471,15.850493057453,642.5625
77,318,77,77,2350.02394600274,16.4501676220192,641.3984375
78,380,78,78,2398.30456181722,16.7881319327205,680.9765625
79,389,79,79,2201.44558634571,15.41011910442,633.25
80,365,80,80,1701.8318373402,11.9128228613814,633.638020833333
81,423,81,81,2617.19752840697,18.3203826988488,650.322916666667
82.001,364,82,82,2113.17372264589,14.7922160585213,652.263020833333
83.001,382,83,83,2416.30314728206,16.9141220309745,633.25
84,377,84,84,2393.63185942002,16.7554230159401,639.846354166667
85,385,85,85,2407.83160997333,16.8548212698133,645.666666666667
86.001,345,86,86,1981.56643825718,13.8709650678002,652.651041666667
87,341,87,87,2496.41065835118,17.4748746084582,666.231770833333
88.001,326,88,88,2188.76412933352,15.3213489053346,635.578125
89,296,89,89,2381.83919548186,16.672874368373,644.502604166667
90,297,90,90,2259.49231039806,15.8164461727864,653.815104166667
91,274,91,91,2392.28769723976,16.7460138806783,662.3515625
92,237,92,92,2555.99727937917,17.8919809556542,671.6640625
93.001,262,93,93,2513.92890715507,17.5975023500855,641.3984375
93.999,285,94,94,1702.62408423863,11.9183685896704,630.921875
95.001,314,95,95,2533.19752357966,17.7323826650576,642.950520833333
96.001,325,96,96,2329.22750289403,16.3045925202582,637.130208333333
97.001,305,97,97,2425.13217620932,16.9759252334653,632.0859375
98,302,98,98,2264.00671033832,15.8480469723682,635.190104166667
99,327,99,99,2203.63573901234,15.4254501730864,659.247395833333
100,275,100,100,2183.20771392062,15.2824539974443,634.802083333333
,259,101,101,,,
,237,102,102,,,
,180,103,103,,,
,125,104,104,,,
,103,105,105,,,
,68,106,106,,,
,39,107,107,,,
,25,108,108,,,
,23,109,109,,,
,23,110,110,,,
,16,111,111,,,
,11,112,112,,,
,12,113,113,,,
,23,114,114,,,
,23,115,115,,,
,16,116,116,,,
,9,117,117,,,
,16,118,118,,,
,19,119,119,,,
,11,120,120,,,
,20,121,121,,,
,23,122,122,,,
,11,123,123,,,
,25,124,124,,,
,19,125,125,,,
,13,126,126,,,
,9,127,127,,,
,14,128,128,,,
,14,129,129,,,
,10,130,130,,,
,11,131,131,,,
,18,132,132,,,
,5,133,133,,,
,17,134,134,,,
,12,135,135,,,
,8,136,136,,,
,19,137,137,,,
,10,138,138,,,
,18,139,139,,,
,11,140,140,,,
,9,141,141,,,
,13,142,142,,,
,12,143,143,,,
,13,144,144,,,
,18,145,145,,,
,7,146,146,,,
,17,147,147,,,
,16,148,148,,,
,24,149,149,,,
,21,150,150,,,
,28,151,151,,,
,13,152,152,,,
,22,153,153,,,
,24,154,154,,,
,19,155,155,,,
,9,156,156,,,
,17,157,157,,,
,18,158,158,,,
,11,159,159,,,
,9,160,160,,,
,18,161,161,,,
,9,162,162,,,
,4,163,163,,,
,10,164,164,,,
,11,165,165,,,
,6,166,166,,,
,7,167,167,,,
,3,168,168,,,
,8,169,169,,,
,6,170,170,,,
,6,171,171,,,
,11,172,172,,,
,11,173,173,,,
,4,174,174,,,
,8,175,175,,,
,10,176,176,,,
,5,177,177,,,
,10,178,178,,,
,5,179,179,,,
,9,180,180,,,
,6,181,181,,,
,7,182,182,,,
,4,183,183,,,
,11,184,184,,,
,9,185,185,,,
,4,186,186,,,
,8,187,187,,,
,13,188,188,,,
,9,189,189,,,
,7,190,190,,,
,9,191,191,,,
,8,192,192,,,
,7,193,193,,,
,10,194,194,,,
,8,195,195,,,
,11,196,196,,,
,10,197,197,,,
,16,198,198,,,
,13,199,199,,,
,13,200,200,,,
,16,201,201,,,
,10,202,202,,,
,11,203,203,,,
,9,204,204,,,
,7,205,205,,,
,15,206,206,,,
,14,207,207,,,
,20,208,208,,,
,14,209,209,,,
,12,210,210,,,
,12,211,211,,,
,18,212,212,,,
,28,213,213,,,
,14,214,214,,,
,20,215,215,,,
,12,216,216,,,
,24,217,217,,,
,19,218,218,,,
,17,219,219,,,
,16,220,220,,,
,22,221,221,,,
,29,222,222,,,
,15,223,223,,,
,23,224,224,,,
,25,225,225,,,
,15,226,226,,,
,20,227,227,,,
,13,228,228,,,
,10,229,229,,,
,21,230,230,,,
,12,231,231,,,
,10,232,232,,,
,18,233,233,,,
,9,234,234,,,
,15,235,235,,,
,14,236,236,,,
,10,237,237,,,
,5,238,238,,,
,5,239,239,,,
,5,240,240,,,
,9,241,241,,,
,7,242,242,,,
,7,243,243,,,
,4,244,244,,,
,6,245,245,,,
,16,246,246,,,
,12,247,247,,,
,10,248,248,,,
,4,249,249,,,
,8,250,250,,,
,7,251,251,,,
,5,252,252,,,
,10,253,253,,,
,6,254,254,,,
,6,255,255,,,
,6,256,256,,,
,4,257,257,,,
,1,258,258,,,
,6,259,259,,,
,3,260,260,,,
,8,261,261,,,
,7,262,262,,,
,5,263,263,,,
,6,264,264,,,
,5,265,265,,,
,5,266,266,,,
,3,267,267,,,
,2,268,268,,,
,2,269,269,,,
,4,270,270,,,
,3,271,271,,,
,3,272,272,,,
,4,273,273,,,
,4,274,274,,,
,5,275,275,,,
,1,276,276,,,
,2,277,277,,,
,3,278,278,,,
,4,279,279,,,
,3,280,280,,,
,3,281,281,,,
,0,282,282,,,
,2,283,283,,,
,3,284,284,,,
,4,285,285,,,
,5,286,286,,,
,3,287,287,,,
,0,288,288,,,
,7,289,289,,,
,3,290,290,,,
,3,291,291,,,
,0,292,292,,,
,3,293,293,,,
,3,294,294,,,
,4,295,295,,,
,2,296,296,,,
,1,297,297,,,
,0,298,298,,,
,1,299,299,,,
,2,300,300,,,
,3,301,301,,,
,1,302,302,,,
,1,303,303,,,
,1,304,304,,,
,3,305,305,,,
,2,306,306,,,
,3,307,307,,,
,0,308,308,,,
,4,309,309,,,
,1,310,310,,,
,1,311,311,,,
,6,312,312,,,
,2,313,313,,,
,1,314,314,,,
,0,315,315,,,
,4,316,316,,,
,1,317,317,,,
,1,318,318,,,
,1,319,319,,,
,2,320,320,,,
,2,321,321,,,
,7,322,322,,,
,3,323,323,,,
,4,324,324,,,
,2,325,325,,,
,3,326,326,,,
,1,327,327,,,
,2,328,328,,,
,2,329,329,,,
,3,330,330,,,
,2,331,331,,,
,3,332,332,,,
,1,333,333,,,
,0,334,334,,,
,3,335,335,,,
,2,336,336,,,
,2,337,337,,,
,4,338,338,,,
,0,339,339,,,
,2,340,340,,,
,1,341,341,,,
,1,342,342,,,
,0,343,343,,,
,1,344,344,,,
,1,345,345,,,
,1,346,346,,,
,1,347,347,,,
,1,348,348,,,
,0,349,349,,,
,2,350,350,,,
,2,351,351,,,
,3,352,352,,,
,0,353,353,,,
,1,354,354,,,
,2,355,355,,,
,1,356,356,,,
,1,357,357,,,
,1,358,358,,,
,0,359,359,,,
,2,360,360,,,
,3,361,361,,,
,1,362,362,,,
,0,363,363,,,
,2,364,364,,,
,0,365,365,,,
,0,366,366,,,
,1,367,367,,,
,0,368,368,,,
,4,369,369,,,
,2,370,370,,,
,2,371,371,,,
,3,372,372,,,
,2,373,373,,,
,0,374,374,,,
,3,375,375,,,
,2,376,376,,,
,2,377,377,,,
,4,378,378,,,
,2,379,379,,,
,2,380,380,,,
,6,381,381,,,
