Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Dead time t / %,Voltage U / V
0,0,0,0,,,642.5625
1.001,0,1,1,2058.09058452627,14.4066340916839,651.098958333333
1.999,0,2,2,2149.17968472895,15.0442577931026,644.114583333333
3,1,3,3,2156.13432716858,15.0929402901801,644.114583333333
4,291,4,4,2144.33555984991,15.0103489189493,640.622395833333
5,680,5,5,2120.93679608348,14.8465575725843,649.158854166667
6,711,6,6,2143.17948390107,15.0022563873075,647.21875
7,484,7,7,2167.31534227908,15.1712073959536,646.442708333333
7.999,204,8,8,2145.78548541526,15.0204983979068,646.442708333333
9,129,9,9,2215.53682457259,15.5087577720082,645.278645833333
10,107,10,10,2158.35913163091,15.1085139214164,646.830729166667
11,143,11,11,2139.87335457002,14.9791134819902,644.502604166667
12,123,12,12,2193.09023430231,15.3516316401162,638.682291666667
13,139,13,13,2110.92099483004,14.7764469638103,645.278645833333
14.001,142,14,14,2173.32614740127,15.2132830318089,640.622395833333
15,174,15,15,2179.76870232103,15.2583809162472,637.518229166667
16.001,184,16,16,2157.81261990547,15.1046883393383,641.3984375
17,189,17,17,2120.02636428805,14.8401845500164,644.890625
18.001,232,18,18,2223.93494224972,15.5675445957481,644.890625
19.001,212,19,19,2144.40027384391,15.0108019169074,638.682291666667
20.001,277,20,20,2176.56098253896,15.2359268777727,643.338541666667
21.001,281,21,21,2200.56035196952,15.4039224637866,644.502604166667
22,297,22,22,2098.81249189209,14.6916874432446,642.950520833333
23.001,454,23,23,2102.90396925376,14.7203277847763,647.21875
24.001,711,24,24,2114.04085822073,14.7982860075451,638.682291666667
25.001,1480,25,25,2195.17363823478,15.3662154676435,642.950520833333
26,3550,26,26,2101.31266062871,14.709188624401,635.190104166667
27,8077,27,27,1803.60368227573,12.6252257759301,651.486979166667
28.001,12713,28,28,2096.56449771575,14.6759514840103,647.606770833333
29.001,14017,29,29,2160.45376934139,15.1231763853897,642.5625
30.001,10594,30,30,2085.83516840143,14.60084617881,648.770833333333
31.001,6822,31,31,2192.93400023695,15.3505380016586,642.5625
32.001,4071,32,32,2200.44494555697,15.4031146188988,648.770833333333
33,2540,33,33,1769.76363823409,12.3883454676387,643.7265625
34,1292,34,34,2188.41382905507,15.3188968033855,646.830729166667
35,657,35,35,2136.6329553467,14.9564306874269,651.875
36.001,371,36,36,2138.67505475849,14.9707253833094,639.846354166667
37.001,312,37,37,2154.9208116587,15.0844456816109,647.606770833333
38,277,38,38,2101.66694496453,14.7116686147517,640.234375
39.001,295,39,39,2156.69251396623,15.0968475977636,633.638020833333
40,392,40,40,2175.71002152824,15.2299701506976,647.21875
41.001,423,41,41,2102.41450447861,14.7169015313503,644.890625
42.001,482,42,42,2191.45983769424,15.3402188638597,637.90625
43,545,43,43,2163.51537255655,15.1446076078958,643.7265625
44.001,570,44,44,2187.67618705586,15.3137333093911,647.21875
45.001,627,45,45,2197.64383759052,15.3835068631336,646.830729166667
46.001,600,46,46,2176.42585885843,15.234981012009,647.21875
47,546,47,47,2189.6793041439,15.3277551290073,652.263020833333
48.001,420,48,48,2152.43782846942,15.0670647992859,645.278645833333
49.001,343,49,49,2177.28323835793,15.2409826685055,644.502604166667
50.001,297,50,50,2116.05485334439,14.8123839734107,644.890625
51.001,314,51,51,2115.99751853219,14.8119826297253,644.890625
52.001,327,52,52,2172.41862506905,15.2069303754834,647.606770833333
53.001,369,53,53,2163.787083351,15.146509583457,644.502604166667
54.001,394,54,54,2193.63417964133,15.3554392574893,648.3828125
