Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Dead time t / %,Voltage U / V
0,0,0,0,,,621.609375
1.001,0,1,1,57.0499954465652,0.399349968125956,621.609375
2,0,2,2,68.7640744533034,0.481348521173124,623.161458333333
2.999,0,3,3,66.034357676299,0.462240503734093,625.877604166667
4.001,1,4,4,74.090479293313,0.518633355053191,621.609375
5,3,5,5,54.3999875657171,0.38079991296002,621.609375
6,2,6,6,68.818739653602,0.481731177575214,621.609375
6.999,2,7,7,73.1471208040732,0.512029845628513,621.609375
8,3,8,8,82.0989825273395,0.574692877691377,621.609375
8.999,0,9,9,64.0249120932955,0.448174384653068,621.609375
10,2,10,10,74.3416959604387,0.520391871723071,621.609375
11,8,11,11,57.7332141512546,0.404132499058782,621.609375
12,2,12,12,66.0997709943389,0.462698396960372,621.609375
13.001,7,13,13,79.9701533616509,0.559791073531556,622.385416666667
14.001,9,14,14,65.1015714718103,0.455711000302672,622.7734375
14.999,15,15,15,62.0062564312739,0.434043795018917,623.9375
15.999,8,16,16,68.8747389564077,0.482123172694854,621.609375
17,4,17,17,65.5116263705393,0.458581384593775,621.997395833333
18,3,18,18,86.0460518469485,0.602322362928639,622.385416666667
19.001,5,19,19,67.7548088975615,0.474283662282931,627.817708333333
20.001,8,20,20,63.0210553345873,0.441147387342111,621.997395833333
21,4,21,21,61.0352967120886,0.42724707698462,621.609375
22.001,6,22,22,82.0792721610531,0.574554905127372,622.385416666667
23,8,23,23,69.9031701287377,0.489322190901164,622.385416666667
24.001,3,24,24,67.0061243597665,0.469042870518365,621.609375
25.001,4,25,25,61.0524329394526,0.427367030576168,621.609375
26,2,26,26,83.0717989558375,0.581502592690863,621.997395833333
27.001,7,27,27,64.8624850454551,0.454037395318186,622.7734375
28.001,6,28,28,70.1698039084781,0.491188627359347,622.385416666667
29.001,10,29,29,73.1883553334572,0.512318487334201,623.549479166667
30.001,10,30,30,68.0323289627231,0.476226302739062,621.609375
31.001,9,31,31,70.914618798966,0.496402331592762,621.609375
32,12,32,32,57.1146633982383,0.399802643787668,622.7734375
33,8,33,33,67.6189034076158,0.473332323853311,621.997395833333
34,11,34,34,76.1142703540826,0.532799892478578,622.7734375
35.001,12,35,35,72.1531636276124,0.505072145393287,621.997395833333
36.001,6,36,36,61.0211072009808,0.427147750406866,621.609375
37,11,37,37,65.9975184933047,0.461982629453133,621.609375
38,6,38,38,70.1104871166471,0.49077340981653,621.609375
39,16,39,39,84.3652910535937,0.590557037375156,622.7734375
40.001,9,40,40,76.9902684300704,0.538931879010493,621.609375
41,7,41,41,86.0472313252745,0.602330619276921,621.609375
42.001,8,42,42,72.1319050624279,0.504923335436996,621.609375
43.001,11,43,43,62.0936558611354,0.434655591027947,621.997395833333
44.001,5,44,44,72.9794489871652,0.510856142910157,621.609375
45.001,8,45,45,58.9392277622543,0.41257459433578,621.609375
46,8,46,46,69.028674511392,0.483200721579744,622.385416666667
47.001,7,47,47,79.9807957222716,0.559865570055901,621.609375
48,5,48,48,72.1777955638123,0.505244568946686,621.997395833333
49,7,49,49,70.8898795503411,0.496229156852387,621.997395833333
50.001,6,50,50,91.2252076701754,0.638576453691228,621.997395833333
51,6,51,51,56.5086246011294,0.395560372207906,621.609375
52.001,9,52,52,60.097508207066,0.420682557449462,621.997395833333
53.001,17,53,53,63.2912024895428,0.4430384174268,621.997395833333
54.001,10,54,54,68.023842356746,0.476166896497222,621.997395833333
55,16,55,55,83.2499446387868,0.582749612471508,621.997395833333
55.999,16,56,56,62.9299966717024,0.440509976701917,622.7734375
57,36,57,57,74.1786146863031,0.519250302804122,621.997395833333
58.001,51,58,58,62.1357982308607,0.434950587616025,621.997395833333
59,55,59,59,68.0937855708668,0.476656498996067,621.609375
60,69,60,60,67.8517439394922,0.474962207576445,621.609375
61.001,88,61,61,79.9998720002048,0.559999104001433,621.609375
62.001,91,62,62,51.0755511773692,0.357528858241584,621.609375
63,73,63,63,66.0227448355959,0.462159213849171,621.997395833333
64,52,64,64,78.0789847009235,0.546552892906464,621.609375
65.001,38,65,65,65.4452439610124,0.458116707727087,622.385416666667
66,36,66,66,82.1894796263305,0.575326357384314,621.609375
67.001,47,67,67,53.3211583355134,0.373248108348594,623.161458333333
68.001,46,68,68,71.024784431456,0.497173491020192,623.9375
69.001,65,69,69,61.0800148194134,0.427560103735894,624.325520833333
70.001,51,70,70,72.1363719244797,0.504954603471358,623.9375
71.001,50,71,71,61.0996243817273,0.427697370672091,621.609375
72.001,51,72,72,70.0703295898093,0.490492307128665,621.997395833333
73.001,46,73,73,63.9765589887865,0.447835912921506,623.549479166667
74,41,74,74,68.9700118388525,0.482790082871967,622.385416666667
75.001,37,75,75,54.4292828653174,0.381004980057222,621.997395833333
76,28,76,76,63.3328125968742,0.443329688178119,622.385416666667
77.001,28,77,77,72.0377838176123,0.504264486723286,622.385416666667
78,26,78,78,63.2919825713867,0.443043877999707,621.609375
79,29,79,79,63.0541193506387,0.441378835454471,621.609375
80,25,80,80,69.9922775187138,0.489945942630996,621.609375
81,18,81,81,83.9271093055681,0.587489765138977,623.161458333333
82.001,20,82,82,60.1488021215686,0.42104161485098,621.609375
83.001,24,83,83,68.818884789972,0.481732193529804,621.609375
