Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V
0,0,0,0,,954.143229166667
1,4,1,1,1115.79501698459,947.546875
2,19,2,2,1353.65381479254,939.786458333333
3.001,40,3,3,1057.85583389732,933.578125
4,93,4,4,1163.49995593106,940.950520833333
5.001,159,5,5,1332.96217742038,940.5625
6,226,6,6,1177.40392089932,945.606770833333
7.001,342,7,7,1136.32804091048,952.203125
8.001,473,8,8,1160.37598586866,939.010416666667
9.001,666,9,9,1067.79677931202,949.875
10.001,931,10,10,1111.35396623825,941.7265625
11.001,1337,11,11,1116.30106639761,961.515625
12,1647,12,12,1104.05054374489,942.890625
13,1908,13,13,1123.12331894042,942.890625
14.001,1895,14,14,1183.09539970295,948.322916666667
15.001,1871,15,15,1146.5213132424,939.3984375
16.001,1522,16,16,1051.01285676171,961.903645833333
17.001,1118,17,17,1343.57947783394,951.427083333333
18.001,842,18,18,1080.14484552177,949.875
19.001,510,19,19,1337.52591269162,944.442708333333
20,335,20,20,1168.85902918539,941.7265625
21.001,222,21,21,1174.60836128158,919.609375
22.001,148,22,22,1132.55472530445,936.294270833333
23,111,23,23,1104.11676712389,942.890625
24,70,24,24,1169.05903737037,945.994791666667
25.001,62,25,25,1232.39297377826,903.3125
26.001,29,26,26,1041.69908425544,942.890625
27,37,27,27,1177.15664352516,945.994791666667
28,40,28,28,1085.65518990253,948.7109375
29,33,29,29,1134.32055898997,954.53125
30,20,30,30,1251.69484146235,949.098958333333
31.001,34,31,31,1012.53888978959,950.263020833333
32.001,24,32,32,1142.32911011363,939.3984375
33,25,33,33,1135.12854479924,950.263020833333
34,41,34,34,1015.12151004475,947.546875
35,34,35,35,1237.51895540526,940.950520833333
36.001,36,36,36,1178.96191502647,946.770833333333
37.001,30,37,37,1242.41668536622,942.502604166667
38.001,41,38,38,1153.17970417052,949.098958333333
39.001,29,39,39,1116.2636954726,959.1875
40,40,40,40,1225.52835641328,940.5625
41,38,41,41,1235.11530556664,937.0703125
42,37,42,42,1199.55882891959,927.369791666667
43.001,33,43,43,1256.1930818748,951.0390625
44,37,44,44,1221.57583282434,951.0390625
45.001,39,45,45,1031.74907862408,926.59375
46.001,31,46,46,1203.85174810046,942.502604166667
47.001,36,47,47,1112.96950906959,935.90625
48,30,48,48,1053.78416196462,939.3984375
49.001,31,49,49,1251.29362332109,948.7109375
50,40,50,50,1128.03554364796,952.203125
51,35,51,51,1177.74945165893,951.815104166667
52.001,32,52,52,1236.45976439785,952.979166666667
53.001,40,53,53,1163.96333959741,943.278645833333
54.001,40,54,54,1158.42706263325,960.3515625
55,29,55,55,1185.65701384954,948.7109375
56.001,41,56,56,1120.55606234156,948.7109375
57,34,57,57,1233.8656801612,946.770833333333
58.001,35,58,58,1348.67889409663,935.90625
59.001,33,59,59,1161.89821771613,954.53125
60.001,39,60,60,1159.00197030335,945.21875
61.001,42,61,61,1065.53853108503,945.606770833333
62.001,39,62,62,1044.66837882877,956.083333333333
63.001,33,63,63,1145.85807281995,966.171875
64.001,40,64,64,1205.51646734495,945.994791666667
65,34,65,65,1191.45321548693,959.1875
66,37,66,66,1251.07693079635,963.84375
67.001,41,67,67,1042.80880050668,945.994791666667
68.001,43,68,68,1141.40245850687,937.846354166667
68.999,39,69,69,1238.14421393,952.203125
70.001,41,70,70,1107.13337243336,950.651041666667
71,48,71,71,1243.86561949885,952.203125
72.001,45,72,72,1082.19295580564,959.963541666667
73,51,73,73,1344.1738174492,951.815104166667
74,46,74,74,1111.06963117821,940.950520833333
75,42,75,75,1169.70692343196,940.5625
76,55,76,76,1134.23495852048,941.338541666667
77.001,51,77,77,1152.64790338649,958.411458333333
78,44,78,78,1088.25324062628,932.4140625
79,41,79,79,1086.34896994568,945.21875
80.001,44,80,80,1328.23746220465,944.442708333333
81,40,81,81,1118.73731847988,941.7265625
82.001,37,82,82,1234.29032710796,947.546875
83.001,34,83,83,1142.78301982134,951.0390625
84,38,84,84,1159.31623528443,937.0703125
85.001,47,85,85,1459.61216134047,932.4140625
86,34,86,86,1107.73941606022,845.885416666667
87.001,39,87,87,1203.3659464828,941.7265625
88,41,88,88,1276.43730742152,930.473958333333
89,33,89,89,1134.80318104652,943.278645833333
90,32,90,90,1266.92193909508,947.158854166667
91.001,34,91,91,1135.06219319757,953.3671875
92.001,29,92,92,1186.80025731031,947.934895833333
92.999,32,93,93,1027.20003482486,966.171875
94,29,94,94,1245.27533037555,956.083333333333
95,28,95,95,1229.56486209765,954.143229166667
96,43,96,96,1100.96479809338,958.0234375
97,40,97,97,1151.0686494676,951.427083333333
98,34,98,98,1126.34973159166,921.9375
99,53,99,99,1153.52763043534,938.234375
,42,100,100,,
,37,101,101,,
,32,102,102,,
,44,103,103,,
,46,104,104,,
,43,105,105,,
,37,106,106,,
,39,107,107,,
,33,108,108,,
,39,109,109,,
,34,110,110,,
,59,111,111,,
,38,112,112,,
,29,113,113,,
,48,114,114,,
,34,115,115,,
,53,116,116,,
,37,117,117,,
,48,118,118,,
,42,119,119,,
,35,120,120,,
,37,121,121,,
,37,122,122,,
,34,123,123,,
,45,124,124,,
,55,125,125,,
,49,126,126,,
,42,127,127,,
,46,128,128,,
,46,129,129,,
,48,130,130,,
,39,131,131,,
,43,132,132,,
,43,133,133,,
,29,134,134,,
,44,135,135,,
,47,136,136,,
,27,137,137,,
,40,138,138,,
,41,139,139,,
,43,140,140,,
,52,141,141,,
,45,142,142,,
,38,143,143,,
,37,144,144,,
,40,145,145,,
,40,146,146,,
,37,147,147,,
,37,148,148,,
,59,149,149,,
,47,150,150,,
,35,151,151,,
,47,152,152,,
,37,153,153,,
,42,154,154,,
,47,155,155,,
,43,156,156,,
,41,157,157,,
,46,158,158,,
,41,159,159,,
,49,160,160,,
,50,161,161,,
,37,162,162,,
,46,163,163,,
,42,164,164,,
,40,165,165,,
,50,166,166,,
,41,167,167,,
,50,168,168,,
,40,169,169,,
,35,170,170,,
,55,171,171,,
,47,172,172,,
,46,173,173,,
,43,174,174,,
,43,175,175,,
,45,176,176,,
,34,177,177,,
,49,178,178,,
,38,179,179,,
,40,180,180,,
,57,181,181,,
,45,182,182,,
,46,183,183,,
,54,184,184,,
,46,185,185,,
,51,186,186,,
,41,187,187,,
,39,188,188,,
,49,189,189,,
,40,190,190,,
,47,191,191,,
,35,192,192,,
,38,193,193,,
,51,194,194,,
,54,195,195,,
,44,196,196,,
,46,197,197,,
,41,198,198,,
,41,199,199,,
,51,200,200,,
,46,201,201,,
,35,202,202,,
,43,203,203,,
,43,204,204,,
,44,205,205,,
,42,206,206,,
,61,207,207,,
,39,208,208,,
,48,209,209,,
,50,210,210,,
,44,211,211,,
,53,212,212,,
,30,213,213,,
,55,214,214,,
,44,215,215,,
,54,216,216,,
,50,217,217,,
,61,218,218,,
,51,219,219,,
,57,220,220,,
,48,221,221,,
,47,222,222,,
,51,223,223,,
,50,224,224,,
,55,225,225,,
,47,226,226,,
,36,227,227,,
,42,228,228,,
,43,229,229,,
,45,230,230,,
,50,231,231,,
,48,232,232,,
,51,233,233,,
,46,234,234,,
,52,235,235,,
,51,236,236,,
,51,237,237,,
,69,238,238,,
,49,239,239,,
,55,240,240,,
,61,241,241,,
,52,242,242,,
,39,243,243,,
,55,244,244,,
,54,245,245,,
,50,246,246,,
,64,247,247,,
,46,248,248,,
,47,249,249,,
,48,250,250,,
,43,251,251,,
,38,252,252,,
,46,253,253,,
,40,254,254,,
,54,255,255,,
,48,256,256,,
,56,257,257,,
,48,258,258,,
,48,259,259,,
,39,260,260,,
,54,261,261,,
,51,262,262,,
,43,263,263,,
,55,264,264,,
,55,265,265,,
,54,266,266,,
,47,267,267,,
,51,268,268,,
,43,269,269,,
,49,270,270,,
,42,271,271,,
,51,272,272,,
,64,273,273,,
,47,274,274,,
,52,275,275,,
,63,276,276,,
,46,277,277,,
,51,278,278,,
,59,279,279,,
,62,280,280,,
,60,281,281,,
,54,282,282,,
,47,283,283,,
,46,284,284,,
,45,285,285,,
,58,286,286,,
,54,287,287,,
,43,288,288,,
,46,289,289,,
,53,290,290,,
,56,291,291,,
,57,292,292,,
,53,293,293,,
,65,294,294,,
,55,295,295,,
,57,296,296,,
,51,297,297,,
,51,298,298,,
,58,299,299,,
,58,300,300,,
,49,301,301,,
,51,302,302,,
,60,303,303,,
,46,304,304,,
,61,305,305,,
,64,306,306,,
,67,307,307,,
,52,308,308,,
,55,309,309,,
,56,310,310,,
,57,311,311,,
,49,312,312,,
,64,313,313,,
,59,314,314,,
,51,315,315,,
,65,316,316,,
,60,317,317,,
,63,318,318,,
,61,319,319,,
,60,320,320,,
,63,321,321,,
,60,322,322,,
,50,323,323,,
,50,324,324,,
,70,325,325,,
,57,326,326,,
,56,327,327,,
,57,328,328,,
,50,329,329,,
,46,330,330,,
,66,331,331,,
,59,332,332,,
,48,333,333,,
,59,334,334,,
,56,335,335,,
,58,336,336,,
,52,337,337,,
,49,338,338,,
,61,339,339,,
,74,340,340,,
,52,341,341,,
,48,342,342,,
,55,343,343,,
,62,344,344,,
,63,345,345,,
,64,346,346,,
,49,347,347,,
,43,348,348,,
,60,349,349,,
,66,350,350,,
,60,351,351,,
,58,352,352,,
,74,353,353,,
,69,354,354,,
,54,355,355,,
,64,356,356,,
,54,357,357,,
,54,358,358,,
,68,359,359,,
,68,360,360,,
,55,361,361,,
,74,362,362,,
,69,363,363,,
,51,364,364,,
,86,365,365,,
,72,366,366,,
,69,367,367,,
,60,368,368,,
,70,369,369,,
,67,370,370,,
,69,371,371,,
,79,372,372,,
,53,373,373,,
,52,374,374,,
,75,375,375,,
,66,376,376,,
,70,377,377,,
,60,378,378,,
,75,379,379,,
,76,380,380,,
,74,381,381,,
,47,382,382,,
,52,383,383,,
,77,384,384,,
,61,385,385,,
,65,386,386,,
,71,387,387,,
,76,388,388,,
,76,389,389,,
,55,390,390,,
,68,391,391,,
,70,392,392,,
,84,393,393,,
,75,394,394,,
,61,395,395,,
,66,396,396,,
,61,397,397,,
,56,398,398,,
,60,399,399,,
,73,400,400,,
,60,401,401,,
,66,402,402,,
,77,403,403,,
,63,404,404,,
,72,405,405,,
,55,406,406,,
,64,407,407,,
,70,408,408,,
,62,409,409,,
,77,410,410,,
,64,411,411,,
,76,412,412,,
,39,413,413,,
,71,414,414,,
,67,415,415,,
,72,416,416,,
,66,417,417,,
,77,418,418,,
,73,419,419,,
,61,420,420,,
,68,421,421,,
,70,422,422,,
,60,423,423,,
,76,424,424,,
,74,425,425,,
,71,426,426,,
,67,427,427,,
,73,428,428,,
