Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Dead time t / %,Voltage U / V
0,1,0,0,,,693.78125
1,2,1,1,4620.94518661225,32.3466163062858,661.575520833333
2.001,5,2,2,4766.41707289009,33.3649195102306,656.53125
3.001,56,3,3,4846.72334618757,33.927063423313,664.291666666667
4.001,186,4,4,4770.97613491296,33.3968329443907,663.127604166667
5.001,343,5,5,4784.44918230049,33.4911442761035,654.203125
6.001,454,6,6,4682.11336486812,32.7747935540768,642.950520833333
7,442,7,7,4800.49203933206,33.6034442753244,651.098958333333
8.001,522,8,8,4800.17928139375,33.6012549697563,655.755208333333
9,494,9,9,4787.07027081743,33.509491895722,659.247395833333
10.001,548,10,10,4718.75612386344,33.0312928670441,661.963541666667
11.001,607,11,11,4799.08532207799,33.5935972545459,661.1875
12,582,12,12,4799.97745419709,33.5998421793796,660.799479166667
13,625,13,13,4820.28915531986,33.742024087239,656.143229166667
14.001,651,14,14,4814.77268615539,33.7034088030877,659.635416666667
15.001,691,15,15,4785.23025667054,33.4966117966938,662.739583333333
16,685,16,16,4552.48556502582,31.8673989551807,656.53125
17.001,669,17,17,4644.499283673,32.511494985711,660.411458333333
18.001,713,18,18,4809.75434168597,33.6682803918018,657.307291666667
19,709,19,19,4770.52762035481,33.3936933424837,661.575520833333
20,725,20,20,4793.70607999387,33.5559425599571,656.919270833333
21.001,731,21,21,4822.64259206686,33.758498144468,657.6953125
22,785,22,22,4611.40161796264,32.2798113257384,654.591145833333
23.001,809,23,23,4819.46820794867,33.7362774556407,648.770833333333
24.001,848,24,24,4699.81342794959,32.8986939956471,653.815104166667
25.001,829,25,25,4777.40225449421,33.4418157814594,654.591145833333
26,819,26,26,4757.1010394446,33.2997072761122,655.3671875
27.001,982,27,27,4796.23127544977,33.5736189281484,666.231770833333
28,919,28,28,4886.82896098637,34.2078027269046,661.1875
29,941,29,29,4758.21031289583,33.3074721902708,657.6953125
30.001,1006,30,30,4820.91184675478,33.7463829272834,656.53125
31,984,31,31,4783.89460798303,33.4872622558812,654.979166666667
32.001,1056,32,32,4802.98015152175,33.6208610606523,661.963541666667
33,998,33,33,4765.38604733151,33.3577023313205,652.263020833333
34.001,944,34,34,4794.83094420263,33.5638166094184,659.635416666667
35,971,35,35,4801.73862258412,33.6121703580888,661.1875
36.001,916,36,36,4867.52895849491,34.0727027094644,668.947916666667
37.001,969,37,37,4848.02544819257,33.936178137348,653.0390625
38.001,1003,38,38,4752.74520804039,33.2692164562827,656.143229166667
39.001,965,39,39,4672.88037066183,32.7101625946328,653.0390625
40,983,40,40,4793.85379585197,33.5569765709638,658.859375
41,1023,41,41,4702.9067204157,32.9203470429099,660.0234375
42.001,1053,42,42,4798.01871227298,33.5861309859108,654.203125
42.999,1126,43,43,4753.11740199983,33.2718218139988,656.143229166667
44.001,1296,44,44,4841.55193625416,33.8908635537791,652.263020833333
45.001,1517,45,45,4779.50229115827,33.4565160381079,653.0390625
46.001,1706,46,46,4775.77491919707,33.4304244343795,665.84375
46.999,2012,47,47,4759.19017932052,33.3143312552437,664.291666666667
48.001,2165,48,48,4795.88171770715,33.57117202395,659.635416666667
49.001,1921,49,49,4847.22776897136,33.9305943827995,656.143229166667
50,1701,50,50,4761.30039908092,33.3291027935664,665.84375
51.001,1503,51,51,4793.26913360785,33.552883935255,653.427083333333
52,1382,52,52,4730.04700178865,33.1103290125205,655.3671875
53.001,1315,53,53,4779.17528405873,33.4542269884111,657.6953125
54.001,1368,54,54,4707.70273433145,32.9539191403202,656.53125
55,1293,55,55,4825.84622482986,33.780923573809,667.0078125
56,1126,56,56,4779.37777296313,33.4556444107419,666.619791666667
57.001,1065,57,57,4730.57497928013,33.1140248549609,642.5625
58.001,981,58,58,4824.60418089015,33.772229266231,658.083333333333
59,882,59,59,4790.9444927082,33.5366114489574,652.263020833333
60,954,60,60,4794.89126858308,33.5642388800816,659.247395833333
61.001,925,61,61,4763.38857983416,33.3437200588391,654.591145833333
62.001,981,62,62,4853.76060350608,33.9763242245426,667.0078125
63,944,63,63,4774.16957117831,33.4191869982481,661.963541666667
64.001,953,64,64,4859.60763414715,34.0172534390301,654.979166666667
65.001,970,65,65,4481.28568306212,31.3689997814348,653.0390625
66,941,66,66,4807.20258695274,33.6504181086692,652.263020833333
67,964,67,67,4825.14144002486,33.775990080174,652.651041666667
68.001,1007,68,68,4779.24614306062,33.4547230014243,652.263020833333
69,904,69,69,4845.05162872801,33.9153614010961,655.3671875
70,922,70,70,4739.72721835573,33.1780905284901,659.635416666667
71,939,71,71,4796.60656847884,33.5762459793519,653.427083333333
72.001,1012,72,72,4681.5034776241,32.7705243433687,651.875
73.001,996,73,73,4823.41804004408,33.7639262803086,650.322916666667
74,922,74,74,4553.27183676987,31.8729028573891,661.575520833333
75,980,75,75,4657.2744964322,32.6009214750254,653.427083333333
75.999,948,76,76,4647.07899823886,32.529552987672,661.963541666667
77.001,941,77,77,4768.23268975526,33.3776288282868,658.471354166667
78,987,78,78,4791.93568542508,33.5435497979756,663.515625
79,996,79,79,4731.93988314253,33.1235791819977,656.143229166667
80.001,978,80,80,4772.93296730841,33.4105307711589,658.859375
81,986,81,81,4799.77119391785,33.598398357425,653.815104166667
82.001,947,82,82,4869.76310358497,34.0883417250948,655.755208333333
83,968,83,83,4793.35822677368,33.5535075874157,654.203125
84,1034,84,84,4793.0605012835,33.5514235089845,658.859375
85,1028,85,85,4575.95058652914,32.031654105704,653.815104166667
86.001,1027,86,86,4633.48410495882,32.4343887347117,658.471354166667
87.001,987,87,87,4811.90197130853,33.6833137991597,657.6953125
88.001,1032,88,88,4782.71295728864,33.4789907010205,660.0234375
89,1011,89,89,4824.95759544985,33.7747031681489,663.515625
90,1005,90,90,4726.70965088072,33.0869675561651,654.591145833333
91.001,1013,91,91,4739.1724020059,33.1742068140413,652.651041666667
92.001,1085,92,92,4812.35373620307,33.6864761534215,656.53125
93,1052,93,93,4685.93531268841,32.8015471888189,653.0390625
94.001,1066,94,94,4648.35174602046,32.5384622221432,656.53125
95.001,1023,95,95,4847.64695437046,33.9335286805932,654.591145833333
96.001,1150,96,96,4762.41447862832,33.3369013503982,652.651041666667
97.001,1148,97,97,4740.79611154726,33.1855727808308,657.307291666667
98,1084,98,98,4798.97598158046,33.5928318710632,664.291666666667
99,1101,99,99,4796.73005550774,33.5771103885541,656.53125
,1133,100,100,,,
,1134,101,101,,,
,1189,102,102,,,
,1162,103,103,,,
,1270,104,104,,,
,1181,105,105,,,
,1183,106,106,,,
,1202,107,107,,,
,1228,108,108,,,
,1336,109,109,,,
,1282,110,110,,,
,1247,111,111,,,
,1289,112,112,,,
,1276,113,113,,,
,1194,114,114,,,
,1266,115,115,,,
,1224,116,116,,,
,1312,117,117,,,
,1287,118,118,,,
,1196,119,119,,,
,1270,120,120,,,
,1190,121,121,,,
,1217,122,122,,,
,1268,123,123,,,
,1281,124,124,,,
,1277,125,125,,,
,1256,126,126,,,
,1246,127,127,,,
,1300,128,128,,,
,1275,129,129,,,
,1217,130,130,,,
,1218,131,131,,,
,1252,132,132,,,
,1228,133,133,,,
,1243,134,134,,,
,1238,135,135,,,
,1287,136,136,,,
,1271,137,137,,,
,1279,138,138,,,
,1302,139,139,,,
,1280,140,140,,,
,1202,141,141,,,
,1302,142,142,,,
,1195,143,143,,,
,1304,144,144,,,
,1302,145,145,,,
,1334,146,146,,,
,1273,147,147,,,
,1265,148,148,,,
,1235,149,149,,,
,1233,150,150,,,
,1194,151,151,,,
,1329,152,152,,,
,1264,153,153,,,
,1249,154,154,,,
,1265,155,155,,,
,1214,156,156,,,
,1253,157,157,,,
,1207,158,158,,,
,1237,159,159,,,
,1359,160,160,,,
,1316,161,161,,,
,1313,162,162,,,
,1314,163,163,,,
,1238,164,164,,,
,1274,165,165,,,
,1279,166,166,,,
,1193,167,167,,,
