Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Dead time t / %,Voltage U / V
0,1,0,0,,,691.453125
1.001,4,1,1,4516.15966260081,31.6131176382057,687.572916666667
2.001,6,2,2,4750.20611430808,33.2514428001566,684.856770833333
3,35,3,3,4754.45527748035,33.2811869423624,690.2890625
4.001,126,4,4,4781.8335998032,33.4728351986224,688.348958333333
5.001,221,5,5,4798.11708604942,33.5868196023459,692.229166666667
6,303,6,6,4821.27204743723,33.7489043320606,693.393229166667
7,328,7,7,4800.2247910146,33.6015735371022,694.9453125
8.001,424,8,8,4828.84203279926,33.8018942295948,696.497395833333
9.001,404,9,9,4829.06872908236,33.8034811035765,701.9296875
10.001,433,10,10,4780.81505185642,33.4657053629949,687.184895833333
11,336,11,11,4769.84212342336,33.3888948639635,688.736979166667
12.001,347,12,12,4778.20952333683,33.4474666633578,692.229166666667
13,402,13,13,4801.25960890387,33.6088172623271,686.796875
14.001,391,14,14,4764.48896903743,33.351422783262,686.408854166667
15.001,400,15,15,4510.26176042159,31.5718323229512,694.9453125
16.001,464,16,16,4798.26396645064,33.5878477651544,696.497395833333
17.001,478,17,17,4787.29928279308,33.5110949795516,677.872395833333
18,477,18,18,4776.84378408946,33.4379064886263,688.348958333333
19,483,19,19,4714.74829635472,33.003238074483,690.677083333333
20.001,548,20,20,4726.21752485449,33.0835226739815,690.677083333333
21,514,21,21,4733.86991209215,33.137089384645,691.453125
22.001,516,22,22,4748.2231093964,33.2375617657748,696.109375
23,565,23,23,4768.9903727672,33.3829326093704,687.572916666667
24.001,596,24,24,4756.19426006506,33.2933598204554,686.408854166667
25,599,25,25,4704.52567767727,32.9316797437409,681.364583333333
26.001,657,26,26,4850.59225731462,33.9541458012023,682.528645833333
27,838,27,27,4797.97346386603,33.5858142470622,693.78125
28,1162,28,28,4753.55321589799,33.2748725112859,693.393229166667
29,1686,29,29,4765.6560018223,33.3595920127561,689.513020833333
30,2178,30,30,4843.96678188542,33.907767473198,690.677083333333
31.001,2306,31,31,4815.97958691227,33.7118571083859,687.184895833333
32,2210,32,32,4760.81908887462,33.3257336221224,696.497395833333
33,1753,33,33,4839.52841484224,33.8766989038957,690.2890625
34,1296,34,34,4791.86067950185,33.5430247565129,690.677083333333
35.001,1097,35,35,4800.13770450494,33.6009639315346,684.856770833333
36.001,944,36,36,4835.49647651935,33.8484753356354,694.557291666667
37.001,777,37,37,4842.56230189644,33.8979361132751,688.348958333333
38,752,38,38,4762.27240198139,33.3359068138698,694.557291666667
38.999,666,39,39,4800.71799724975,33.6050259807483,684.46875
40,664,40,40,4745.60923609196,33.2192646526437,698.4375
