Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Dead time t / %,Voltage U / V
0,0,0,0,,,685.6328125
1,2,1,1,4485.2260319807,31.3965822238649,685.244791666667
2,6,2,2,4826.41860886025,33.7849302620217,685.6328125
3.001,26,3,3,4816.88955594732,33.7182268916312,684.46875
4.001,132,4,4,4750.26165284688,33.2518315699282,674.380208333333
5,250,5,5,4814.96031555279,33.7047222088695,678.6484375
6.001,345,6,6,4735.38582045909,33.1477007432136,689.125
7,426,7,7,4812.77581225228,33.689430685766,679.424479166667
8,410,8,8,4799.72389102796,33.5980672371957,671.276041666667
9,435,9,9,4813.35774850987,33.6935042395691,684.46875
10,381,10,10,4808.33693699613,33.6583585589729,675.544270833333
11,381,11,11,4787.24000403473,33.5106800282431,682.140625
12,398,12,12,4790.43138600179,33.5330197020125,685.244791666667
13,397,13,13,4723.61586426111,33.0653110498278,679.424479166667
14.001,435,14,14,4756.07703681356,33.2925392576949,685.6328125
15,454,15,15,4767.48146855305,33.3723702798714,686.796875
16,451,16,16,4784.60345919391,33.4922242143573,680.588541666667
17,451,17,17,4796.90652827887,33.5783456979521,676.708333333333
18.001,471,18,18,4781.61552039176,33.4713086427423,685.244791666667
19.001,491,19,19,4674.0719807085,32.7185038649595,679.8125
20,497,20,20,4825.34356446179,33.7774049512325,674.768229166667
21,536,21,21,4762.86921818841,33.3400845273188,688.348958333333
22.001,528,22,22,4779.91352399014,33.4593946679309,691.065104166667
23,561,23,23,4847.09522224197,33.9296665556938,680.200520833333
24.001,557,24,24,4805.63754902494,33.6394628431746,681.364583333333
25.001,608,25,25,4848.63080686797,33.9404156480758,679.424479166667
26,646,26,26,4808.97290705114,33.662810349358,681.752604166667
27.001,841,27,27,4804.77198491395,33.6334038943976,678.260416666667
28.001,1295,28,28,4840.01517530228,33.880106227116,689.901041666667
29.001,1940,29,29,4809.73392396422,33.6681374677495,690.677083333333
30.001,2405,30,30,4787.64182075669,33.5134927452968,682.140625
31,2350,31,31,4774.13499316895,33.4189449521826,680.588541666667
32.001,2131,32,32,4705.61354130175,32.9392947891122,684.856770833333
33.001,1678,33,33,4801.36696799683,33.6095687759778,682.140625
34.001,1274,34,34,4762.76893245048,33.3393825271534,686.020833333333
35.001,1010,35,35,4787.51034860316,33.5125724402221,681.364583333333
36.001,941,36,36,4803.63227424679,33.6254259197275,686.796875
37.001,799,37,37,4788.83099314534,33.5218169520174,688.736979166667
38.001,755,38,38,4811.25810400036,33.6788067280025,681.752604166667
39.001,717,39,39,4782.01649990571,33.47411549934,680.588541666667
40.001,659,40,40,4836.83176806275,33.8578223764393,673.604166666667
41,759,41,41,4785.77413367381,33.5004189357167,678.260416666667
42.001,738,42,42,4670.85881657323,32.6960117160126,686.408854166667
43,663,43,43,4846.43443041626,33.9250410129138,684.080729166667
44,664,44,44,4808.58098775052,33.6600669142536,681.752604166667
45.001,682,45,45,4781.6025786452,33.4712180505164,678.260416666667
46.001,624,46,46,4743.59299972062,33.2051509980444,684.46875
47,636,47,47,4797.27486774228,33.580924074196,693.005208333333
48.001,668,48,48,4829.34375879482,33.8054063115637,683.3046875
49.001,669,49,49,4801.31210683842,33.6091847478689,690.677083333333
50,606,50,50,4833.54951318537,33.8348465922976,688.736979166667
51.001,659,51,51,4775.45955746594,33.4282169022616,683.3046875
52.001,700,52,52,4788.37772164485,33.5186440515139,682.140625
53.001,646,53,53,4769.17514251741,33.3842259976218,681.752604166667
54.001,673,54,54,4767.00941544347,33.3690659081043,677.096354166667
55.001,702,55,55,4685.38435632729,32.797690494291,681.364583333333
56,721,56,56,4739.07074018,33.17349518126,679.036458333333
57,794,57,57,4804.77212588125,33.6334048811688,682.528645833333
58.001,718,58,58,4780.85028916756,33.4659520241729,682.916666666667
59.001,809,59,59,4708.1893964381,32.9573257750667,687.572916666667
60.001,850,60,60,4824.31462563558,33.7702023794491,689.125
61,917,61,61,4880.82143603901,34.1657500522731,681.752604166667
62.001,1021,62,62,4825.28011550473,33.7769608085331,687.572916666667
63.001,1134,63,63,4797.69000439807,33.5838300307865,686.796875
