Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Dead time t / %,Voltage U / V
0,0,0,0,,,677.484375
1,4,1,1,4630.63053153038,32.4144137207127,685.6328125
2.001,8,2,2,4840.14045401384,33.8809831780968,682.916666666667
3.001,33,3,3,4828.03345341878,33.7962341739315,684.080729166667
4,116,4,4,4792.52508219525,33.5476755753667,680.9765625
5.001,260,5,5,4661.47974332769,32.6303582032938,686.408854166667
6.001,312,6,6,4810.06064158624,33.6704244911037,690.2890625
7,325,7,7,4827.41153172947,33.7918807221063,688.736979166667
8.001,349,8,8,4721.31732250626,33.0492212575438,692.229166666667
9,401,9,9,4748.70369377243,33.240925856407,679.8125
10,443,10,10,4786.13787022074,33.5029650915452,678.6484375
11.001,382,11,11,4822.21911572959,33.7555338101072,685.244791666667
12.001,360,12,12,4835.39589853954,33.8477712897768,679.8125
13,403,13,13,4854.57699334683,33.9820389534278,677.096354166667
14.001,495,14,14,4764.64634631795,33.3525244242256,686.796875
15.001,482,15,15,4800.12728292483,33.6008909804738,691.453125
16,532,16,16,4883.50467086978,34.1845326960884,686.796875
17.001,478,17,17,4834.59285544001,33.8421499880801,693.393229166667
18.001,483,18,18,4739.90948696089,33.1793664087262,694.557291666667
19,493,19,19,4800.40870023056,33.6028609016139,684.46875
20.001,513,20,20,4805.69790547965,33.6398853383576,680.9765625
21.001,556,21,21,4826.84967611139,33.7879477327797,689.513020833333
22,553,22,22,4808.3721113617,33.6586047795319,691.065104166667
23.001,556,23,23,4837.01017092026,33.8590711964418,683.692708333333
24.001,576,24,24,4847.93267223157,33.935528705621,678.260416666667
25,556,25,25,4819.22198879964,33.7345539215975,683.3046875
26.001,608,26,26,4803.22392389772,33.622567467284,688.348958333333
27.001,612,27,27,4826.80894297659,33.7876626008361,688.736979166667
28,635,28,28,4854.59532084522,33.9821672459166,684.856770833333
29.001,597,29,29,4779.07440521399,33.4535208364979,675.544270833333
30.001,640,30,30,4786.84084530461,33.5078859171323,687.184895833333
31,634,31,31,4858.42101317072,34.008947092195,683.692708333333
32.001,691,32,32,4685.13247957584,32.7959273570309,681.364583333333
33.001,661,33,33,4802.5662248898,33.6179635742286,683.692708333333
34,665,34,34,4837.16719734893,33.8601703814425,691.841145833333
35.001,666,35,35,4819.34173155666,33.7353921208966,689.125
36.001,698,36,36,4793.76229704844,33.5563360793391,685.244791666667
37,708,37,37,4773.95005903331,33.4176504132332,694.169270833333
38,694,38,38,4794.79328533506,33.5635529973454,694.169270833333
39.001,747,39,39,4843.42104473941,33.9039473131759,689.513020833333
40,801,40,40,4813.0606252516,33.6914243767612,679.8125
41,749,41,41,4839.03437391079,33.8732406173755,684.080729166667
42.001,754,42,42,4697.60950758576,32.8832665531003,679.424479166667
43,698,43,43,4823.09256695393,33.7616479686775,683.3046875
44,674,44,44,4751.1747349579,33.2582231447053,679.8125
45.001,728,45,45,4776.69857923427,33.4368900546399,679.8125
46,699,46,46,4774.95364027861,33.4246754819503,685.244791666667
47,720,47,47,4780.35411042163,33.4624787729514,680.588541666667
48.001,764,48,48,4828.42014092989,33.7989409865092,683.692708333333
49.001,733,49,49,4790.18618101241,33.5313032670869,682.916666666667
50,705,50,50,4753.82485471774,33.2767739830242,679.8125
