Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Dead time t / %,Voltage U / V
0,13,0,0,,,218.84375
1,95,1,1,1043.21030018191,7.30247210127337,908.356770833333
2.001,307,2,2,1089.73568055794,7.62814976390561,904.088541666667
3.001,768,3,3,1044.28164797632,7.30997153583423,897.104166666667
4.002,1523,4,4,1025.87838092042,7.18114866644293,897.4921875
5.001,2923,5,5,1157.21439442339,8.10050076096373,899.432291666667
6,4531,6,6,1108.47936734484,7.75935557141389,912.236979166667
7,5433,7,7,991.886825713186,6.9432077799923,909.908854166667
8,5199,8,8,1002.11945263875,7.01483616847128,906.416666666667
9,4491,9,9,998.267670836674,6.98787369585672,908.356770833333
10.001,3232,10,10,1156.89972091295,8.09829804639068,890.5078125
11,2219,11,11,1142.50121528314,7.99750850698201,900.208333333333
12,1228,12,12,1107.5285976535,7.75270018357453,893.223958333333
13.001,754,13,13,1082.58383746354,7.57808686224481,901.760416666667
14.001,411,14,14,1022.66149904382,7.15863049330672,904.088541666667
15,228,15,15,1034.47319327454,7.2413123529218,907.192708333333
16.001,125,16,16,1101.60687056563,7.71124809395941,902.1484375
17.001,100,17,17,1057.77554469607,7.40442881287251,905.252604166667
18,56,18,18,1171.72189697222,8.20205327880551,904.088541666667
19,67,19,19,1057.25966297323,7.40081764081258,905.640625
20,61,20,20,1023.07535450512,7.16152748153584,903.700520833333
21,55,21,21,920.568370002825,6.44397859001977,895.1640625
22,50,22,22,1035.93368703212,7.25153580922485,908.744791666667
23.001,52,23,23,1002.67921490017,7.01875450430121,909.520833333333
24,58,24,24,1161.23613886785,8.12865297207497,898.65625
25.001,45,25,25,1033.93672307255,7.23755706150784,900.596354166667
26,60,26,26,1022.49727139775,7.15748089978428,904.088541666667
27,60,27,27,1028.54368819358,7.19980581735505,894
28,52,28,28,1066.63339865584,7.4664337905909,901.372395833333
29.001,47,29,29,1032.46894739591,7.22728263177135,901.372395833333
30.001,61,30,30,1084.17857976383,7.5892500583468,901.760416666667
31,61,31,31,1100.78116470446,7.7054681529312,908.744791666667
32.001,58,32,32,1053.25267531681,7.37276872721766,917.28125
33.001,55,33,33,1036.06993472059,7.25248954304416,895.940104166667
34,47,34,34,1098.71084594076,7.69097592158534,886.239583333333
35.001,57,35,35,1029.69968093319,7.20789776653236,906.8046875
36,60,36,36,994.397958062817,6.96078570643972,905.252604166667
36.999,71,37,37,994.460733657904,6.96122513560533,899.8203125
38.001,69,38,38,1062.14940597961,7.43504584185728,908.356770833333
39,56,39,39,1056.56606831574,7.3959624782102,902.536458333333
40.001,68,40,40,1120.23533601953,7.84164735213671,911.072916666667
41.001,54,41,41,988.876936066904,6.92213855246833,902.1484375
42,61,42,42,1050.51313568954,7.35359194982678,913.013020833333
43,63,43,43,1074.15027362328,7.51905191536296,907.96875
44,70,44,44,1043.19058842244,7.3023341189571,897.104166666667
45.001,65,45,45,1001.26810605632,7.00887674239424,911.4609375
46.001,73,46,46,1104.46569335304,7.73125985347126,894.776041666667
47,53,47,47,976.036905965229,6.8322583417566,923.877604166667
48,47,48,48,1031.23129016045,7.21861903112316,914.565104166667
49.001,46,49,49,1028.66601125312,7.20066207877182,902.536458333333
50.001,57,50,50,1040.41565104925,7.28290955734478,904.4765625
51.001,61,51,51,1130.48971859579,7.91342803017053,904.088541666667
52,68,52,52,1111.69539546164,7.7818677682315,909.908854166667
53.001,60,53,53,1028.34891878814,7.19844243151701,892.8359375
54,73,54,54,1132.54849323527,7.92783945264692,892.8359375
55,49,55,55,976.444254364284,6.83510978054999,904.4765625
56.001,47,56,56,1072.76681371845,7.50936769602912,904.088541666667
57.001,48,57,57,1142.83343025227,7.99983401176586,915.341145833333
58.001,54,58,58,1171.34521802313,8.19941652616188,904.4765625
59,55,59,59,1010.34487005653,7.07241409039572,905.640625
60.001,48,60,60,1027.26842523952,7.19087897667661,907.96875
61.001,61,61,61,1026.0945424347,7.18266179704289,897.104166666667
62,55,62,62,1032.46744598097,7.22727212186681,886.627604166667
63,56,63,63,1047.28114622123,7.33096802354864,889.34375
64.001,51,64,64,995.247542794893,6.96673279956425,911.4609375
65,67,65,65,1054.08195737133,7.37857370159928,901.372395833333
66,51,66,66,1040.35650585886,7.28249554101203,910.296875
67.001,66,67,67,1082.10270998959,7.5747189699271,906.416666666667
68,45,68,68,987.025465257004,6.90917825679903,894
69.001,57,69,69,1023.64212669965,7.16549488689756,904.4765625
70.001,52,70,70,1014.27340127929,7.09991380895506,902.924479166667
71,59,71,71,1087.47909751229,7.61235368258604,897.4921875
72,59,72,72,1050.53009748719,7.35371068241034,910.684895833333
73.001,70,73,73,996.659136353192,6.97661395447234,899.8203125
74,48,74,74,1078.09046221576,7.5466332355103,906.8046875
75,52,75,75,1024.11633640919,7.16881435486433,909.520833333333
76,52,76,76,992.196204632856,6.94537343242999,894.776041666667
77.001,51,77,77,1041.75542112214,7.29228794785498,905.252604166667
78.001,70,78,78,1096.39527262394,7.67476690836759,914.177083333333
79,44,79,79,1074.13915022819,7.51897405159734,899.044270833333
80,59,80,80,1086.55607940347,7.60589255582432,907.192708333333
81,57,81,81,1141.62965533981,7.99140758737865,911.072916666667
82,49,82,82,1011.89998384563,7.08329988691943,901.760416666667
83,68,83,83,1109.09374717592,7.76365623023143,891.283854166667
84,68,84,84,996.295999541464,6.97407199679025,922.325520833333
85.001,56,85,85,1112.87775986472,7.79014431905307,905.640625
86.001,71,86,86,1124.32524216294,7.87027669514056,906.8046875
87.001,69,87,87,1060.27761509702,7.42194330567915,901.372395833333
88,69,88,88,997.634067823922,6.98343847476746,900.984375
89.001,54,89,89,1055.41541150597,7.38790788054178,905.640625
90,59,90,90,1018.39812670712,7.12878688694981,894.388020833333
91.001,65,91,91,1087.19657195398,7.61037600367783,902.1484375
92,57,92,92,1132.10888554379,7.92476219880654,912.236979166667
93,57,93,93,1105.5090275845,7.73856319309151,899.8203125
94,57,94,94,993.734464133699,6.95614124893589,906.416666666667
95,56,95,95,1006.74094646303,7.04718662524118,898.65625
96.001,61,96,96,1117.00726054719,7.81905082383035,883.5234375
97,49,97,97,1038.501596271,7.26951117389699,894
98,50,98,98,1083.23326929013,7.58263288503088,915.341145833333
99.001,67,99,99,1013.37109649554,7.09359767546876,901.760416666667
100,61,100,100,1047.68674166424,7.3338071916497,899.044270833333
,61,101,101,,,
,63,102,102,,,
,52,103,103,,,
,51,104,104,,,
,56,105,105,,,
,54,106,106,,,
,62,107,107,,,
,74,108,108,,,
,62,109,109,,,
,68,110,110,,,
,60,111,111,,,
,73,112,112,,,
,61,113,113,,,
,63,114,114,,,
,69,115,115,,,
,68,116,116,,,
,56,117,117,,,
,73,118,118,,,
,58,119,119,,,
,62,120,120,,,
,71,121,121,,,
,60,122,122,,,
,67,123,123,,,
,74,124,124,,,
,60,125,125,,,
,72,126,126,,,
,68,127,127,,,
,78,128,128,,,
,66,129,129,,,
,61,130,130,,,
,70,131,131,,,
,69,132,132,,,
,61,133,133,,,
,67,134,134,,,
,55,135,135,,,
,65,136,136,,,
,57,137,137,,,
,65,138,138,,,
,73,139,139,,,
,59,140,140,,,
,59,141,141,,,
,71,142,142,,,
,59,143,143,,,
,77,144,144,,,
,68,145,145,,,
,56,146,146,,,
,60,147,147,,,
,48,148,148,,,
,75,149,149,,,
,61,150,150,,,
,76,151,151,,,
,65,152,152,,,
,54,153,153,,,
,48,154,154,,,
,53,155,155,,,
,63,156,156,,,
,66,157,157,,,
,47,158,158,,,
,69,159,159,,,
,55,160,160,,,
,62,161,161,,,
,74,162,162,,,
,65,163,163,,,
,74,164,164,,,
,56,165,165,,,
,63,166,166,,,
,69,167,167,,,
,61,168,168,,,
,72,169,169,,,
,81,170,170,,,
,72,171,171,,,
,70,172,172,,,
,76,173,173,,,
,87,174,174,,,
,65,175,175,,,
,74,176,176,,,
,80,177,177,,,
,72,178,178,,,
,66,179,179,,,
,89,180,180,,,
,77,181,181,,,
,72,182,182,,,
,70,183,183,,,
,59,184,184,,,
,69,185,185,,,
,80,186,186,,,
,56,187,187,,,
,75,188,188,,,
,71,189,189,,,
,84,190,190,,,
,71,191,191,,,
,62,192,192,,,
,80,193,193,,,
,69,194,194,,,
,63,195,195,,,
,73,196,196,,,
,72,197,197,,,
,73,198,198,,,
,65,199,199,,,
,72,200,200,,,
,82,201,201,,,
,57,202,202,,,
,69,203,203,,,
,68,204,204,,,
,70,205,205,,,
,68,206,206,,,
,64,207,207,,,
,62,208,208,,,
,83,209,209,,,
,65,210,210,,,
,78,211,211,,,
,80,212,212,,,
,89,213,213,,,
,68,214,214,,,
,71,215,215,,,
,77,216,216,,,
,91,217,217,,,
,72,218,218,,,
,75,219,219,,,
,74,220,220,,,
,85,221,221,,,
,91,222,222,,,
,77,223,223,,,
,74,224,224,,,
,76,225,225,,,
,81,226,226,,,
,77,227,227,,,
,73,228,228,,,
,74,229,229,,,
,70,230,230,,,
,75,231,231,,,
,98,232,232,,,
,58,233,233,,,
,79,234,234,,,
,73,235,235,,,
,79,236,236,,,
,83,237,237,,,
,84,238,238,,,
,86,239,239,,,
,81,240,240,,,
,87,241,241,,,
,81,242,242,,,
,88,243,243,,,
,81,244,244,,,
,80,245,245,,,
,70,246,246,,,
,77,247,247,,,
,73,248,248,,,
,79,249,249,,,
,95,250,250,,,
,101,251,251,,,
,88,252,252,,,
,97,253,253,,,
,78,254,254,,,
,99,255,255,,,
,80,256,256,,,
,85,257,257,,,
,82,258,258,,,
,72,259,259,,,
,80,260,260,,,
,97,261,261,,,
,94,262,262,,,
,73,263,263,,,
,84,264,264,,,
,91,265,265,,,
,84,266,266,,,
,80,267,267,,,
,78,268,268,,,
,83,269,269,,,
,89,270,270,,,
,84,271,271,,,
,86,272,272,,,
,85,273,273,,,
,95,274,274,,,
,87,275,275,,,
,78,276,276,,,
,92,277,277,,,
,90,278,278,,,
,78,279,279,,,
,97,280,280,,,
,87,281,281,,,
,91,282,282,,,
,86,283,283,,,
,108,284,284,,,
,95,285,285,,,
,88,286,286,,,
,96,287,287,,,
,109,288,288,,,
,96,289,289,,,
,105,290,290,,,
,109,291,291,,,
,89,292,292,,,
,107,293,293,,,
,80,294,294,,,
,89,295,295,,,
,105,296,296,,,
,94,297,297,,,
,85,298,298,,,
,91,299,299,,,
,113,300,300,,,
,108,301,301,,,
,76,302,302,,,
,91,303,303,,,
,120,304,304,,,
,88,305,305,,,
,101,306,306,,,
,81,307,307,,,
,86,308,308,,,
,83,309,309,,,
,73,310,310,,,
,96,311,311,,,
,79,312,312,,,
,83,313,313,,,
,65,314,314,,,
,90,315,315,,,
,103,316,316,,,
,76,317,317,,,
,76,318,318,,,
,100,319,319,,,
,91,320,320,,,
,92,321,321,,,
,90,322,322,,,
,95,323,323,,,
,94,324,324,,,
,96,325,325,,,
,81,326,326,,,
,85,327,327,,,
,108,328,328,,,
,102,329,329,,,
,87,330,330,,,
,87,331,331,,,
,88,332,332,,,
,97,333,333,,,
