Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Dead time t / %,Voltage U / V
0,0,0,0,,,632.0859375
1.001,0,1,1,1060.12624310149,7.4208837017104,638.682291666667
2,0,2,2,1115.61848112485,7.80932936787392,635.578125
3.001,0,3,3,1091.5913082142,7.64113915749943,635.578125
4.001,40,4,4,1105.67755920828,7.73974291445798,639.0703125
5.001,79,5,5,1085.20866584087,7.59646066088608,632.861979166667
6.001,67,6,6,1072.06367591637,7.50444573141461,637.130208333333
7,88,7,7,1144.29339281789,8.0100537497252,632.0859375
8.001,121,8,8,1094.92291742661,7.66446042198629,633.638020833333
9,76,9,9,1121.08942364238,7.84762596549664,630.145833333333
10,96,10,10,1144.32979584716,8.01030857093014,635.578125
11,100,11,11,1119.23949395733,7.83467645770129,632.473958333333
12,121,12,12,1116.26944156741,7.81388609097185,640.622395833333
13,124,13,13,1129.29282418719,7.90504976931033,638.294270833333
14.001,123,14,14,1076.64501413916,7.53651509897412,633.25
15.001,153,15,15,1098.45126353322,7.68915884473257,635.190104166667
16.001,130,16,16,1161.17674734539,8.12823723141771,633.638020833333
17,111,17,17,1068.05402665805,7.47637818660636,639.846354166667
18.001,127,18,18,1101.12916800145,7.70790417601017,639.458333333333
19.001,135,19,19,1127.40623478973,7.89184364352814,632.473958333333
20.001,146,20,20,1113.61083807728,7.79527586654095,631.697916666667
21,136,21,21,1192.8426773787,8.34989874165093,634.026041666667
22.001,170,22,22,1101.6814232437,7.71176996270592,633.638020833333
23.001,180,23,23,1107.06322351987,7.74944256463908,639.0703125
24,151,24,24,1126.73823889412,7.88716767225886,636.354166666667
25.001,160,25,25,1107.59207150712,7.75314450054985,639.458333333333
26.001,162,26,26,1137.38511860116,7.96169583020811,633.25
27.001,157,27,27,1138.72427996797,7.97106995977581,638.294270833333
28.001,163,28,28,1150.39058314254,8.05273408199775,634.026041666667
29,166,29,29,1131.7143380902,7.92200036663142,635.190104166667
30,182,30,30,1127.77026609273,7.89439186264913,636.7421875
31,177,31,31,1173.04000066402,8.21128000464816,637.130208333333
32.001,177,32,32,1141.92521266554,7.99347648865876,636.354166666667
33.001,189,33,33,1169.33633399532,8.18535433796726,635.578125
34.001,185,34,34,1128.55684238682,7.89989789670772,634.026041666667
35.001,178,35,35,1149.27170651958,8.04490194563705,637.518229166667
36.001,206,36,36,1085.70269385112,7.59991885695782,632.861979166667
37,191,37,37,1165.32739186704,8.15729174306926,638.294270833333
38.001,170,38,38,1074.21935559241,7.51953548914688,634.4140625
39,203,39,39,1112.61705519802,7.78831938638614,635.190104166667
40.001,190,40,40,1126.70419011882,7.88692933083177,634.4140625
41.001,185,41,41,1084.68672149164,7.59280705044148,637.90625
42.001,198,42,42,1123.74219536073,7.86619536752513,635.966145833333
43.001,180,43,43,1122.75509075787,7.85928563530511,634.026041666667
44.001,170,44,44,1082.64619122471,7.57852333857296,634.802083333333
45,199,45,45,1075.69802044547,7.52988614311827,635.966145833333
46,205,46,46,1112.7175060114,7.78902254207977,630.533854166667
47.001,184,47,47,1098.18640616058,7.68730484312407,630.145833333333
48.001,229,48,48,1080.8441362653,7.56590895385707,634.802083333333
49,189,49,49,1103.13000375996,7.72191002631975,631.309895833333
50.001,207,50,50,1116.69547794366,7.81686834560564,637.518229166667
51,205,51,51,1107.51160582185,7.75258124075292,633.25
52.001,192,52,52,1092.04653849547,7.64432576946831,636.7421875
53.001,202,53,53,1093.62874128439,7.65540118899076,631.309895833333
54,175,54,54,1127.23069514707,7.89061486602946,631.697916666667
55.001,193,55,55,1118.91527269306,7.83240690885144,645.666666666667
56,220,56,56,1168.59037896875,8.18013265278125,632.0859375
57.001,213,57,57,1077.83692005492,7.54485844038441,634.802083333333
58,234,58,58,1142.16008111668,7.99512056781673,638.294270833333
58.999,259,59,59,1138.58096599209,7.9700667619446,632.0859375
60,285,60,60,1089.19637329643,7.624374613075,638.682291666667
61.001,329,61,61,1101.72247610827,7.71205733275788,638.294270833333
62,324,62,62,1182.38983392825,8.27672883749772,633.25
