Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Dead time t / %,Voltage U / V
0,0,0,0,,,616.953125
1,0,1,1,14.8364289012363,0.103855002308654,618.1171875
2.001,0,2,2,15.0109399730524,0.105076579811367,618.1171875
3.001,0,3,3,23.0106493285092,0.161074545299565,617.341145833333
4,0,4,4,15.5512219483726,0.108858553638608,618.505208333333
5,1,5,5,12.9907635671038,0.0909353449697265,617.341145833333
6.001,1,6,6,25.9915579419804,0.181940905593863,617.729166666667
7,2,7,7,16.9954842998215,0.118968390098751,618.505208333333
8.001,1,8,8,18.0119689533695,0.126083782673587,617.341145833333
9,1,9,9,18.025688408551,0.126179818859857,618.893229166667
10,1,10,10,18.8432108520933,0.131902475964653,618.1171875
10.999,2,11,11,13.0118355656305,0.0910828489594135,618.1171875
12.001,2,12,12,11.0216962089874,0.0771518734629117,617.729166666667
13.001,1,13,13,21.053539038968,0.147374773272776,617.341145833333
13.999,1,14,14,14.0192189472548,0.0981345326307835,618.1171875
15.001,3,15,15,9.98701466160333,0.0699091026312233,618.1171875
16.001,3,16,16,10.0078962301256,0.070055273610879,618.1171875
17,2,17,17,17.76478185292,0.12435347297044,618.1171875
18,1,18,18,12.0134610831437,0.0840942275820056,618.1171875
19.001,1,19,19,15.5310234411956,0.108717164088369,618.1171875
20,2,20,20,15.0075773257918,0.105053041280543,618.1171875
20.999,3,21,21,18.0355263798631,0.126248684659041,618.1171875
22,2,22,22,11.0939069267803,0.0776573484874623,618.1171875
23,3,23,23,17.7587266105084,0.124311086273559,617.729166666667
24,1,24,24,12.2117892835776,0.0854825249850433,618.1171875
25.001,5,25,25,13.3245909211789,0.0932721364482526,617.729166666667
26,6,26,26,14.4409545470956,0.101086681829669,617.729166666667
27,1,27,27,20.0091621953693,0.140064135367585,618.1171875
28,3,28,28,10.9906788053052,0.0769347516371365,618.1171875
29,0,29,29,8.88776508037095,0.0622143555625966,618.1171875
30,3,30,30,22.98698936402,0.16090892554814,618.1171875
31,6,31,31,23.0054407867461,0.161038085507222,618.1171875
32,2,32,32,19.0301685261645,0.133211179683152,618.1171875
33,5,33,33,9.98619907288128,0.0699033935101689,618.1171875
34,3,34,34,15.5483549396235,0.108838484577365,617.729166666667
35,3,35,35,16.0139305181577,0.112097513627104,618.1171875
36,6,36,36,18.9963773908316,0.132974641735821,618.1171875
37,5,37,37,13.3319171874632,0.0933234203122424,618.1171875
38,5,38,38,11.006607266342,0.0770462508643939,618.1171875
39.001,5,39,39,20.9986707841394,0.146990695488976,618.1171875
40,1,40,40,14.9831260034949,0.104881882024464,618.1171875
41.001,4,41,41,11.9989908848666,0.0839929361940661,618.1171875
42,4,42,42,15.0420968121385,0.105294677684969,618.1171875
43.001,2,43,43,16.6521866652398,0.116565306656678,618.505208333333
44.001,4,44,44,12.1922577168401,0.0853458040178809,618.1171875
45.001,4,45,45,25.019905837084,0.175139340859588,618.1171875
46.001,0,46,46,13.0089722881872,0.0910628060173101,616.953125
47.001,4,47,47,11.0987421795488,0.0776911952568415,617.729166666667
48,9,48,48,14.0115833759769,0.0980810836318384,617.729166666667
48.999,4,49,49,10.0080584886951,0.0700564094208657,618.1171875
50,4,50,50,12.005339975221,0.0840373798265468,618.1171875
51.001,8,51,51,16.9632000338466,0.118742400236926,618.505208333333
52,7,52,52,14.43574610543,0.10105022273801,618.1171875
53,5,53,53,9.0239803253165,0.0631678622772155,618.1171875
54,8,54,54,16.6369881283998,0.116458916898799,618.505208333333
55,7,55,55,21.0878207846001,0.147614745492201,618.505208333333
56,9,56,56,18.0391431366923,0.126274001956846,618.1171875
57.001,21,57,57,13.3028284695606,0.093119799286924,617.341145833333
58,9,58,58,17.0361660769648,0.119253162538754,618.1171875
58.999,13,59,59,16.9812713558217,0.118868899490752,618.1171875
60.001,18,60,60,8.00884176130448,0.0560618923291314,618.1171875
60.999,10,61,61,7.76728245312084,0.0543709771718459,617.729166666667
62,15,62,62,24.9959306624881,0.174971514637417,618.1171875
63,12,63,63,12.0101449694557,0.0840710147861899,618.1171875
64.001,18,64,64,9.99726297155979,0.0699808408009185,618.1171875
65,11,65,65,7.99642319990268,0.0559749623993188,618.505208333333
66.001,10,66,66,11.0059586260001,0.0770417103820008,618.1171875
67,11,67,67,13.3241367180786,0.0932689570265501,618.1171875
68,6,68,68,16.0189680600799,0.11213277642056,618.1171875
69.001,7,69,69,9.9948666364955,0.0699640664554685,618.1171875
70,5,70,70,22.2117358149469,0.155482150704628,618.1171875
71,11,71,71,8.87991228422646,0.0621593859895852,618.1171875
72.001,8,72,72,21.1110970370464,0.147777679259325,617.341145833333
73,10,73,73,18.0132090862229,0.12609246360356,618.1171875
74.001,5,74,74,15.5397171305291,0.108778019913704,618.1171875
75,9,75,75,13.0219289283153,0.091153502498207,617.341145833333
76.001,2,76,76,17.7777758024694,0.124444430617285,618.1171875
77,6,77,77,14.4307256346078,0.101015079442255,617.729166666667
78.001,8,78,78,17.7506016067179,0.124254211247025,618.1171875
79.001,3,79,79,15.0255870722253,0.105179109505577,618.1171875
80.001,5,80,80,13.3102474485919,0.0931717321401436,618.505208333333
81,11,81,81,14.0063476767671,0.0980444337373698,618.1171875
82,8,82,82,10.0074144933982,0.0700519014537871,618.505208333333
83,6,83,83,17.7529394429483,0.124270576100638,618.1171875
84,6,84,84,8.01649313297178,0.0561154519308024,618.1171875
85,8,85,85,11.1070261936999,0.0777491833558991,618.1171875
86,7,86,86,21.1023184784118,0.147716229348882,618.1171875
87,9,87,87,14.4423021696226,0.101096115187358,618.1171875
88.001,7,88,88,11.0901482664102,0.0776310378648714,618.1171875
89.001,7,89,89,16.6602820763465,0.116621974534426,618.1171875
90.001,7,90,90,15.0248526087001,0.1051739682609,618.1171875
91.001,4,91,91,11.1065179489105,0.0777456256423732,618.1171875
92,10,92,92,9.01574509723782,0.0631102156806647,618.1171875
92.999,1,93,93,17.7534082660313,0.124273857862219,618.893229166667
94.001,5,94,94,18.9787494941914,0.132851246459339,618.1171875
95,8,95,95,20.9923965539682,0.146946775877777,618.505208333333
96.001,4,96,96,11.9973881685957,0.0839817171801699,618.1171875
97,5,97,97,15.010357146431,0.105072500025017,618.1171875
98,10,98,98,9.00947255944901,0.063066307916143,618.505208333333
99,11,99,99,15.5547259701705,0.108883081791193,618.1171875
,11,100,100,,,
,6,101,101,,,
,10,102,102,,,
,9,103,103,,,
