Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Dead time t / %,Voltage U / V
0,0,0,-24.9262917846498,,,621.609375
1,0,1,-23.2637464490117,10.608019875186,0.0742561391263023,622.385416666667
2,0,2,-21.6012011133737,7.7713370663136,0.0543993594641952,621.609375
3.001,0,3,-19.9386557777357,11.0013619686117,0.077009533780282,622.385416666667
4,1,4,-18.2761104420976,8.99303579308184,0.0629512505515729,621.609375
5,2,5,-16.6135651064596,7.77697415711488,0.0544388190998041,621.609375
6,5,6,-14.9510197708215,14.0025876782029,0.0980181137474205,622.385416666667
7.001,11,7,-13.2884744351835,11.0076888706762,0.0770538220947332,623.161458333333
8,4,8,-11.6259290995454,12.2156257842987,0.0855093804900909,622.7734375
9,7,9,-9.96338376390739,12.010028373692,0.0840701986158442,622.7734375
10,4,10,-8.30083842826934,5.54108409093806,0.0387875886365664,622.7734375
11,7,11,-6.63829309263129,12.0054732952753,0.0840383130669272,622.7734375
12.001,4,12,-4.97574775699325,11.0082000081861,0.0770574000573027,622.385416666667
13.001,7,13,-3.3132024213552,12.0201602127088,0.0841411214889613,621.609375
14.001,8,14,-1.65065708571716,12.2012672236138,0.0854088705652969,622.385416666667
15.001,8,15,0.0118882499208794,15.5520079697376,0.108864055788163,622.385416666667
16,5,16,1.67443358555892,12.0043743940292,0.0840306207582043,621.997395833333
17,2,17,3.33697892119698,6.00699093605138,0.0420489365523596,621.997395833333
18,7,18,4.99952425683502,7.77079959973721,0.0543955971981605,621.997395833333
19.001,8,19,6.66206959247306,7.99895373685122,0.0559926761579585,622.7734375
20,3,20,8.3246149281111,9.99471723667835,0.0699630206567484,622.7734375
21,5,21,9.98716026374915,6.00793106980525,0.0420555174886367,623.161458333333
22.001,4,22,11.6497055993872,9.98518198992695,0.0698962739294886,622.7734375
23,4,23,13.3122509350252,9.9966721078553,0.0699767047549871,622.7734375
24.001,11,24,14.9747962706633,9.00457342284146,0.0630320139598902,622.7734375
25,10,25,16.6373416063013,10.0066273893199,0.0700463917252396,622.7734375
26.001,10,26,18.2998869419394,11.098936810645,0.0776925576745152,621.609375
27.001,10,27,19.9624322775774,9.00174273739396,0.0630121991617577,622.385416666667
28,6,28,21.6249776132155,10.0099438782487,0.0700696071477406,622.385416666667
29.001,10,29,23.2875229488535,5.99924169584965,0.0419946918709475,621.997395833333
30.001,14,30,24.9500682844916,7.76451856823609,0.0543516299776526,621.609375
31.001,8,31,26.6126136201296,13.9931993051377,0.0979523951359639,622.7734375
32.001,13,32,28.2751589557676,18.029070072585,0.126203490508095,622.7734375
33.001,6,33,29.9377042914057,8.997208166306,0.062980457164142,622.7734375
34,9,34,31.6002496270437,13.0224011344314,0.0911568079410201,622.7734375
35.001,14,35,33.2627949626818,6.65877897304093,0.0466114528112865,622.385416666667
36.001,16,36,34.9253402983198,12.0051898435694,0.0840363289049856,622.385416666667
37.001,13,37,36.5878856339579,2.21982308675945,0.0155387616073162,622.7734375
38,16,38,38.2504309695959,13.3320993734691,0.0933246956142837,622.7734375
39.001,14,39,39.912976305234,9.99956101927125,0.0699969271348988,621.609375
40.001,12,40,41.575521640872,6.98983328748336,0.0489288330123835,621.609375
41.001,16,41,43.23806697651,9.01393012761922,0.0630975108933346,621.609375
42,18,42,44.9006123121481,8.99660917800081,0.0629762642460057,622.385416666667
43,17,43,46.5631576477861,8.00435997487832,0.0560305198241482,621.609375
44,15,44,48.2257029834242,7.77745976608956,0.0544422183626269,621.609375
45.001,12,45,49.8882483190622,9.9821928770399,0.0698753501392793,621.609375
46.001,14,46,51.5507936547003,7.01663855500548,0.0491164698850384,621.997395833333
47,23,47,53.2133389903383,7.76998965814377,0.0543899276070064,621.997395833333
48.001,24,48,54.8758843259764,3.33042180458239,0.0233129526320768,622.7734375
49.001,21,49,56.5384296616144,6.66122370676228,0.0466285659473359,622.7734375
50.001,21,50,58.2009749972525,15.990285901315,0.111932001309205,622.7734375
51,20,51,59.8635203328905,6.00475997323078,0.0420333198126155,622.7734375
52,17,52,61.5260656685285,6.00246881542378,0.0420172817079665,622.7734375
53,18,53,63.1886110041666,5.99914932062634,0.0419940452443843,621.997395833333
54.001,18,54,64.8511563398046,13.001566688786,0.091010966821502,621.997395833333
55.001,31,55,66.5137016754427,9.9910060963121,0.0699370426741847,621.997395833333
56,20,56,68.1762470110807,11.0124275244614,0.0770869926712295,622.385416666667
57,26,57,69.8387923467188,13.3225494696793,0.0932578462877549,622.7734375
58,39,58,71.5013376823568,5.00386147990404,0.0350270303593283,622.7734375
59,45,59,73.1638830179949,10.0029928954743,0.0700209502683203,622.7734375
60.001,45,60,74.8264283536329,13.3160269369909,0.0932121885589362,622.7734375
61,50,61,76.4889736892709,8.87471006044898,0.0621229704231428,622.7734375
62,59,62,78.151519024909,6.01646284728904,0.0421152399310233,622.7734375
63,51,63,79.814064360547,8.88409246607859,0.0621886472625501,623.549479166667
64.001,45,64,81.4766096961851,6.99715425736353,0.0489800798015447,622.385416666667
65,43,65,83.1391550318231,9.00435450583902,0.0630304815408732,621.997395833333
66.001,43,66,84.8017003674612,14.4367288149334,0.101057101704533,621.609375
67,36,67,86.4642457030992,9.99774650793711,0.0699842255555598,622.385416666667
68,23,68,88.1267910387373,11.000865768136,0.0770060603769517,622.385416666667
69.001,37,69,89.7893363743753,5.99555010271377,0.0419688507189964,622.7734375
70,35,70,91.4518817100133,7.99802368834661,0.0559861658184263,622.7734375
71.001,33,71,93.1144270456514,9.00836246287429,0.06305853724012,622.7734375
72,35,72,94.7769723812894,13.0213211111875,0.0911492477783122,622.7734375
73.001,35,73,96.4395177169275,13.2998841247596,0.0930991888733169,622.7734375
74,31,74,98.1020630525655,9.00879979564038,0.0630615985694827,621.997395833333
75,20,75,99.7646083882036,8.87358884980319,0.0621151219486224,621.997395833333
76,27,76,101.427153723842,7.01442657112884,0.0491009859979019,621.997395833333
77.001,33,77,103.08969905948,7.76663265991081,0.0543664286193756,621.609375
78.001,25,78,104.752244395118,10.0140316611636,0.0700982216281454,622.385416666667
79.001,25,79,106.414789730756,7.77496583180194,0.0544247608226136,621.997395833333
80,26,80,108.077335066394,11.0195464715312,0.0771368253007184,623.549479166667
81.001,29,81,109.739880402032,7.76570469554444,0.0543599328688111,622.7734375
82.001,39,82,111.40242573767,9.01745599130797,0.0631221919391558,622.7734375
83.001,29,83,113.064971073308,8.88655468719105,0.0622058828103374,622.7734375
84,29,84,114.727516408946,14.4181601385119,0.100927120969584,623.161458333333
85,33,85,116.390061744584,12.0072163370185,0.0840505143591298,622.7734375
86,34,86,118.052607080222,4.44146372878646,0.0310902461015052,621.997395833333
87,32,87,119.71515241586,5.00758549050101,0.0350530984335071,621.609375
88.001,26,88,121.377697751498,8.86845498322366,0.0620791848825656,622.7734375
89.001,18,89,123.040243087136,4.99542818412589,0.0349679972888812,621.609375
90,19,90,124.702788422774,11.0304595108934,0.0772132165762537,622.385416666667
91,26,91,126.365333758412,9.98401448347701,0.0698881013843391,622.7734375
92,27,92,128.02787909405,3.32816690890175,0.0232971683623122,622.7734375
93.001,27,93,129.690424429688,9.01837132422458,0.063128599269572,622.7734375
94,24,94,131.352969765326,9.98953097154183,0.0699267168007928,622.7734375
95,29,95,133.015515100964,9.00468153392949,0.0630327707375064,622.7734375
96,29,96,134.678060436603,6.00355350331861,0.0420248745232303,622.7734375
97,27,97,136.340605772241,4.99464623869674,0.0349625236708772,622.7734375
98,13,98,138.003151107879,6.00587073864703,0.0420410951705292,621.609375
99,33,99,139.665696443517,7.766621457533,0.054366350202731,621.997395833333
100,23,100,141.328241779155,11.0237661374157,0.0771663629619096,621.609375
101.001,21,101,142.990787114793,7.76648530813974,0.0543653971569782,622.7734375
102,29,102,144.653332450431,15.0067770605205,0.105047439423644,622.7734375
103.001,27,103,146.315877786069,9.97972563294747,0.0698580794306323,622.7734375
104,19,104,147.978423121707,10.0244717404127,0.0701713021828889,622.7734375
105.001,25,105,149.640968457345,6.66245451486782,0.0466371816040748,622.7734375
106,23,106,151.303513792983,11.1080971140942,0.0777566797986591,622.7734375
107,25,107,152.966059128621,7.77110412624536,0.0543977288837175,621.997395833333
108.001,28,108,154.628604464259,6.0091374944741,0.0420639624613187,622.7734375
109.001,30,109,156.291149799897,8.88028586528229,0.062162001056976,621.609375
110.001,28,110,157.953695135535,12.0040273511763,0.0840281914582342,621.609375
111,23,111,159.616240471173,11.9946479880677,0.0839625359164741,621.609375
112.001,24,112,161.278785806811,12.0072067254766,0.0840504470783364,622.7734375
113.001,25,113,162.941331142449,9.99147505145332,0.0699403253601732,622.7734375
114.001,24,114,164.603876478087,4.44221297279444,0.0310954908095611,622.7734375
115,21,115,166.266421813725,10.0250124059529,0.07017508684167,622.7734375
116,16,116,167.928967149363,13.2973241794554,0.0930812692561876,623.161458333333
117,19,117,169.591512485001,12.013643895372,0.0840955072676038,622.7734375
118.001,26,118,171.254057820639,5.55289941866696,0.0388702959306687,621.997395833333
119.001,34,119,172.916603156278,7.76896776832849,0.0543827743782994,622.385416666667
120.001,24,120,174.579148491916,11.98946485723,0.0839262540006097,621.997395833333
121,21,121,176.241693827554,13.3269186431598,0.0932884305021183,621.609375
122,17,122,177.904239163192,8.01142990704839,0.0560800093493387,621.997395833333
123,20,123,179.56678449883,9.99531719389466,0.0699672203572626,622.7734375
124,28,124,181.229329834468,9.00657299697319,0.0630460109788123,622.7734375
125,17,125,182.891875170106,7.77198678406956,0.0544039074884869,622.7734375
126,23,126,184.554420505744,7.992000007992,0.055944000055944,622.7734375
127.001,22,127,186.216965841382,7.0121632984575,0.0490851430892025,622.385416666667
127.999,21,128,187.87951117702,7.98266723463344,0.0558786706424341,622.385416666667
129,23,129,189.542056512658,11.0330550328785,0.0772313852301495,622.7734375
130,16,130,191.204601848296,11.1084660619144,0.0777592624334006,621.609375
131,12,131,192.867147183934,9.98238109736316,0.0698766676815421,621.609375
132.001,27,132,194.529692519572,8.00850904085591,0.0560595632859914,621.609375
133,17,133,196.19223785521,5.99540212610949,0.0419678148827664,621.997395833333
134,22,134,197.854783190848,14.4216934218663,0.100951853953064,622.385416666667
135.001,18,135,199.517328526486,7.01611250236167,0.0491127875165317,621.997395833333
135.999,14,136,201.179873862124,6.66387080264991,0.0466470956185494,623.549479166667
136.999,13,137,202.842419197762,7.76871858871239,0.0543810301209867,622.7734375
138.001,17,138,204.5049645334,20.9829869941451,0.146880908959016,622.7734375
139,23,139,206.167509869038,12.0327193705123,0.0842290355935861,622.7734375
140,24,140,207.830055204676,4.44199493101748,0.0310939645171224,622.7734375
141,16,141,209.492600540315,8.99467155656989,0.0629627008959892,622.7734375
